id,recetteid,unit,quantite,ingredient
1,1,,,poivre
2,1,,,sel
3,1,,,muscade
4,1,,20,crème fraîche
5,1,,30,beurre
6,1,,200,lardons
7,1,,200,pâte brisée
8,1,,3,oeufs
9,1,,20,lait
10,2,,,sel
11,2,,,poivre
12,2,,4,clous de girofle
13,2,,1,oignon
14,2,,2,poireaux
15,2,,5,carottes
16,2,,1,boeuf
17,2,,,os à moelle
18,2,,4,rave
19,2,branches,2,céleri
20,2,gousse,1,ail
21,2,,1,bouquet garni
22,3,,,poivre
23,3,,,sel
24,3,,100,beurre
25,3,bouteille,1,vin rouge
26,3,,4,carottes
27,3,,4,oignons
28,3,,600,bourguignon
29,3,,1,bouquet garni
30,4,,,sel
31,4,,,poivre
32,4,,1,feuille de laurier
33,4,brin,1,thym
34,4,,500,tomate
35,4,,350,oignon
36,4,,350,poivron
37,4,,350,courgette
38,4,,350,aubergine
39,4,gousses,3,ail
40,4,cuillères à soupe,6,huile d'olive
41,5,cuillères à soupe,3,sucre
42,5,cuillère à café,0.5,sel
43,5,,150,beurre
44,5,,300,farine
45,5,,8,eau
46,6,,,poivre
47,6,,,sel
48,6,,,persil
49,6,cuillère à café,1,farine
50,6,,30,beurre
51,6,,4,moules
52,6,,2,échalotes
53,6,,15,vin blanc sec
54,7,cuillères à soupe,3,huile d'olive
55,7,sachet,1,levure
56,7,cuillères à café,2,sel
57,7,,350,farine
58,7,,25,eau
59,8,,50,fromage râpé
60,8,,1,oignon
61,8,,50,huile d'olive
62,8,,,sel
63,8,,,poivre
64,8,,2,courgettes
65,8,,600,porc
66,8,,20,coulis de tomate
67,9,,500,pomme de terre
68,10,,,beurre
69,10,,,moutarde
70,10,,40,crème fraîche
71,10,,1,bouillon de légumes
72,10,,1,filet mignon
73,10,,25,vin blanc sec
74,10,,500,champignon
75,10,,,huile d'olive
76,11,,125,beurre
77,11,,100,farine
78,11,,,poivre
79,11,,,sel
80,11,,70,fromage râpé
81,11,pincées,3,muscade
82,11,,,thym
83,11,,2,feuilles de laurier
84,11,,20,vin rouge
85,11,,800,purée de tomate
86,11,,1,carotte
87,11,,3,oignons jaunes
88,11,paquet,1,lasagnes
89,11,gousses,2,ail
90,11,branche,1,céleri
91,11,,600,boeuf haché
92,11,,15,eau
93,11,,,basilic
94,11,,125,Parmesan
95,11,,1,lait
96,12,,,poivre
97,12,,,sel
98,12,,,muscade
99,12,,100,beurre
100,12,,1.5,pomme de terre
101,12,gousses,2,ail
102,12,,30,crème
103,12,,1,lait
104,13,,,sel
105,13,,,poivre
106,13,,,huile d'olive
107,13,,4,aubergines
108,13,,,herbes de Provence
109,14,,400,pois chiches
110,14,,2,courgettes
111,14,,5,carottes
112,14,,3,tomates
113,14,,2,cubes de bouillon
114,14,cuillère à café,1,harissa
115,14,,12,merguez
116,14,,8,pilons de poulet
117,14,,,huile d'olive
118,14,boîtes,2,concentré de tomates
119,14,cuillères à soupe,3,épices à couscous
120,14,,10,navets
121,15,,1,oignon
122,15,,250,lardons
123,15,,,poivre
124,15,pincée,1,sel
125,15,,50,crème fraîche
126,15,,500,pâtes
127,15,,3,jaunes d'oeuf
128,16,,,poivre
129,16,,1,sel
130,16,,,feuille de laurier
131,16,poignée,1,tomates cerise
132,16,,2,oignons
133,16,,1,poulet
134,16,gousses,3,ail
135,16,,1,jus de citron
136,16,,1,bouillon de volaille
137,17,cuillères à soupe,2,huile
138,17,cuillères à soupe,2,vinaigre balsamique
139,17,cuillères à soupe,2,miel
140,17,,,sel
141,17,,,poivre
142,17,,4,blancs de poulet
143,17,cuillères à soupe,2,jus de citron
144,17,cuillère,1,sauce soja
145,17,gousses,2,ail
146,18,,1,clou de girofle
147,18,,2,feuilles de laurier
148,18,cuillère à café,1,thym
149,18,,1,oignon
150,18,,4,cuisses de poulet
151,18,,50,eau
152,18,gousse,1,ail
153,18,,1,bouillon de volaille
154,18,,3,genièvre
155,18,cuillère à soupe,1,huile d'olive
156,19,,1,piment
157,19,cuillère à café,1,curcuma
158,19,,,sel
159,19,,,poivre
160,19,,,thym
161,19,,4,oignons
162,19,,4,tomates
163,19,,6,saucisses
164,19,gousses,6,ail
165,19,,,laurier
166,19,,,huile d'olive
167,20,,200,fromage râpé
168,20,,20,sauce tomate
169,20,pincée,1,poivre
170,20,pincées,2,sel
171,20,cuillère à café,0.5,bicarbonate
172,20,sachet,1,levure
173,20,,300,Farine à pizza
174,20,,20,eau
175,20,,250,viande
176,20,pincée,1,herbes de Provence
177,20,,8,olives noires
178,20,pincées,2,sel
179,20,pincées,2,paprika
180,21,,,sel
181,21,,,poivre
182,21,,,beurre
183,21,,,persil
184,21,,,thym
185,21,,3,oignons
186,21,,4,tomates
187,21,,500,chair à saucisse
188,21,gousses,2,ail
189,22,,1,thym
190,22,,1,sel
191,22,,1,poivre
192,22,,400,rôti de boeuf
193,22,gousse,1,ail
194,22,cuillères à soupe,2,huile d'olive
195,22,,12,eau
196,23,,10,gros sel
197,23,,330,farine de blé noir
198,23,,75,eau
199,23,,1,oeuf
200,24,bonne,1,moutarde
201,24,,4,andouillette
202,24,,20,crème
203,24,,1,échalote
204,25,cuillère à soupe,1,gros sel
205,25,branches,2,romarin
206,25,,1,gigot d'agneau
207,25,gousses,2,ail
208,25,,,graisse d'oie
209,25,,,ail
210,26,,,sel
211,26,,,poivre
212,26,pincée,1,muscade
213,26,,100,gruyère râpé
214,26,tranches,4,jambon
215,26,,50,beurre tendre
216,26,tranches,8,pain de mie
217,26,tranches,8,toastinette
218,26,cuillères à soupe,4,lait
219,27,,,persil
220,27,,,poivre
221,27,,,sel
222,27,,30,bouillon de boeuf
223,27,grosse,1,haricots rouges
224,27,cuillères à café,2,cumin en poudre
225,27,cuillère à café,1,chili
226,27,,2,oignons
227,27,,50,beurre
228,27,gousses,2,ail
229,27,,500,boeuf haché
230,27,,65,concentré de tomates
231,28,,,sel
232,28,,,poivre
233,28,doses,3,safran
234,28,,2,oignons
235,28,,1,tomate
236,28,,2,poivrons
237,28,,500,riz
238,28,,1,filet de poulet
239,28,,500,calamar
240,28,,1,moules
241,28,,15,crevettes
242,28,,1,chorizo
243,28,gousses,3,ail
244,28,,1,bouillon de volaille
245,28,cuillères à soupe,5,huile d'olive
246,29,,,romarin
247,29,,,thym
248,29,,,poivre
249,29,,,fleur de sel
250,29,,,harissa
251,29,,1.5,épaule d'agneau
252,29,,12,échalotes
253,29,gousses,8,ail
254,29,,5,huile d'olive
255,30,,,sel
256,30,,,poivre
257,30,cuillères à soupe,4,miel
258,30,branches,6,thym
259,30,,4,souris d'agneau
260,30,,1,ail
261,30,cuillères à soupe,10,huile d'olive
262,31,bol,0.5,vinaigre
263,31,bols,2,sucre
264,31,bols,4,eau
265,31,bol,1,nuoc mam
266,31,sachet,1,vermicelles de riz
267,31,,,sel
268,31,,,poivre
269,31,cuillère à soupe,1,curry
270,31,,700,boeuf
271,31,gousse,1,ail
272,31,cuillères à soupe,3,sauce d'huître
273,31,cuillères,3,soja
274,31,cuillère à café,1,glutamate
275,31,,,coriandre
276,31,,,batavia
277,31,,300,soja
278,31,,,menthe
279,31,,,arachide
280,31,,8,nems
281,32,,,sel
282,32,cuillères à café,3,vinaigre balsamique
283,32,cuillères à soupe,3,miel
284,32,,2,Magrets de Canard
285,33,,,sel
286,33,,,poivre
287,33,,100,gruyère râpé
288,33,grosses,2,farine
289,33,,10,crème fraîche
290,33,,3,oeufs
291,33,,0.25,lait
292,33,,150,dés de jambon
293,34,,1,côte de boeuf
294,34,,,huile
295,34,,,fleur de sel
296,34,,,poivre
297,34,brins,5,thym
298,35,,,sel
299,35,,,poivre
300,35,,,muscade
301,35,cuillère à soupe,1,miel
302,35,,30,beurre
303,35,,,huile d'olive
304,35,,1,oignon
305,35,,5,tomates
306,35,,2,aubergines
307,35,,6,pommes de terre
308,35,,500,boeuf haché
309,35,,1,cannelle
310,35,cuillères à soupe,3,farine
311,35,,20,beurre
312,35,,35,lait
313,36,,200,beurre
314,36,cuillère à café,1,sel
315,36,,50,farine
316,36,,200,farine
317,36,,100,eau
318,37,,,sel
319,37,,,poivre
320,37,,25,beurre
321,37,,1,rôti de porc
322,37,filet,1,huile d'olive
323,37,gousse,1,ail
324,37,,5,eau
325,38,pincée,1,poivre
326,38,pincée,1,sel
327,38,brins,2,persil
328,38,,1,oignon
329,38,,1,bouillon de légumes
330,38,,1,beurre
331,38,filet,1,huile d'olive
332,38,,250,champignon
333,38,,200,riz
334,38,,20,vin blanc sec
335,38,cuillère à soupe,1,Parmesan
336,38,gousse,1,ail
337,38,,1,échalote
338,39,cuillère à café,1,persil
339,39,cuillères à soupe,2,huile d'olive
340,39,,,sel
341,39,,,poivre
342,39,goutte,,tabasco
343,39,cuillère à soupe,1,oignon
344,39,cuillère à café,1,moutarde de Dijon
345,39,,250,boeuf
346,39,,1,jaune d'oeuf
347,39,cuillère à soupe,1,câpres
348,39,cuillère à café,1,sauce worcestershire
349,39,cuillère à soupe,1,ketchup
350,40,,,muscade
351,40,,,sel
352,40,,,poivre
353,40,,200,gruyère râpé
354,40,,20,crème fraîche
355,40,,4,courgettes
356,40,,6,pommes de terre
357,41,,,poivre
358,41,,,sel
359,41,cuillère à café,1,curry
360,41,,20,noix de saint-jacques
361,41,,15,crème
362,42,,,poivre
363,42,,,sel
364,42,cuillères à soupe,6,huile d'olive
365,42,,3,oignons
366,42,,700,poivron
367,42,,1,tomate
368,42,,1,poulet
369,42,gousses,3,ail
370,42,,20,vin blanc
371,42,,1,bouquet garni
372,43,,,poivre
373,43,,,sel
374,43,,,farine
375,43,,1,crème fraîche
376,43,,1,oignon jaune
377,43,,2,carottes
378,43,,1,cube de bouillon
379,43,,1,blanquette de veau
380,43,,1,bouillon de poule
381,43,petite boîte,1,champignon
382,43,,,citron
383,43,,1,jaune d'oeuf
384,43,,25,vin blanc
385,44,,,poivre
386,44,,,sel
387,44,branches,2,thym
388,44,,50,beurre
389,44,pot,1,moutarde à l'ancienne
390,44,,2,filets mignons
391,44,cuillères,4,huile d'olive
392,44,,2,pomme de terre
393,44,branches,2,laurier
394,45,,1,carotte
395,45,morceau,1,sucre
396,45,,,sel
397,45,,,poivre
398,45,,,persil
399,45,branche,1,thym
400,45,,3,feuilles de laurier
401,45,,,huile d'olive
402,45,,1,crème fraîche
403,45,,1,moutarde de Dijon
404,45,,1,lapin
405,45,bouteille,1,vin blanc sec
406,45,gousses,2,ail
407,45,,5,échalotes
408,46,,,poivre
409,46,,,sel
410,46,,,huile de tournesol
411,46,,1,rôti de veau
412,46,gousses,4,ail
413,46,boîte,1,champignons de Paris
414,47,,,moutarde de Dijon
415,47,,4,tomates
416,47,,1,pâte brisée
417,47,,,herbes de Provence
418,47,,,huile d'olive
419,48,,1,tomate
420,48,,,sel
421,48,,,poivre
422,48,,,gruyère râpé
423,48,cuillères à soupe,3,crème fraîche
424,48,,100,lardons
425,48,,200,coquillettes
426,48,,2,champignons de Paris
427,49,,,sel
428,49,,,poivre
429,49,cuillère à soupe,1,farine
430,49,,30,beurre
431,49,,250,crème fraîche
432,49,,500,coquille saint-jacques
433,49,,0.25,vin blanc sec
434,49,,2,échalotes
435,49,,2,oeufs
436,49,demi,1,citron
437,49,,,chapelure
438,50,,,poivre
439,50,,,sel
440,50,pincée,1,piment de Cayenne
441,50,cuillères à soupe,2,huile d'arachide
442,50,,20,beurre
443,50,,5,cognac
444,50,,12,oignons
445,50,,1,queue
446,50,petite boîte,1,tomates pelées
447,50,cuillère à soupe,1,concentré de tomates
448,50,,4,échalotes
449,50,gousse,1,ail
450,50,,20,vin blanc sec
451,51,,1,mont d'or
452,51,,5,vin blanc
453,52,,1,piment de Cayenne
454,52,cuillères à soupe,2,vinaigre de riz
455,52,cuillères à soupe,2,huile de sésame
456,52,,5,gingembre
457,52,bouquet,1,coriandre
458,52,paquet,1,sésame
459,52,,3,oignons
460,52,,1,saumon frais
461,52,,3,avocats
462,52,,1,mangue
463,52,,250,riz
464,52,cuillères à soupe,2,sauce teriyaki
465,53,,,poivre
466,53,,,sel
467,53,,50,fromage râpé
468,53,,30,beurre
469,53,cuillère à soupe,1,farine
470,53,,2,tomates
471,53,,2,oignons
472,53,,300,purée
473,53,,400,viande hachée
474,53,gousses,2,ail
475,53,pincée,1,herbes de Provence
476,53,,1,jaune d'oeuf
477,53,,30,Parmesan
478,54,,,muscade
479,54,,,sel
480,54,,,poivre
481,54,,1,beurre
482,54,,35,crème fraîche
