id,title,url,rate,Tag1,Tag2,Tag3,Tag4,Tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
3241,Gratin de courgettes rapide,https://www.marmiton.org/recettes/recette_gratin-de-courgettes-rapide_17071.aspx,4.9,accompagnement,gratin de légumes,,,,très facile,"['Emincer les oignons.', 'Les faire fondre dans le beurre.', 'Râper 4 courgettes avec leur peau.', 'Les ajouter aux oignons.', 'Préchauffer le four à 200°C (thermostat 6-7).', 'Mélanger le gruyère râpé, les oeufs, la crème fraîche, puis saler et poivrer.', 'Mettre les courgettes dans un plat et verser par dessus la sauce et faire à four chaud pendant 15 min.']",bon marché,4,15,15,30,"['https://assets.afcdn.com/recipe/20190529/93185_w314h314c1cx2736cy1824cxt0cyt0cxb5472cyb3648.webp', 'https://assets.afcdn.com/recipe/20190529/93181_w314h314c1cx1291cy1937cxt0cyt0cxb2583cyb3874.webp', 'https://assets.afcdn.com/recipe/20190529/93184_w314h314c1cx1705cy2558cxt0cyt0cxb3411cyb5117.webp']"
3242,Tian provençal,https://www.marmiton.org/recettes/recette_tian-provencal_36194.aspx,4.7,accompagnement,tian,,,,facile,"['Préchauffez le four à 180°C (thermostat 6).', 'Beurrez un plat ovale allant au four.', ""Épluchez les gousses d'ail et l'oignon."", ""Coupez l'oignon et une seule des 5 gousses d'ail en petits morceaux."", ""Enfournez 5 à 10 min, l'oignon en morceau et les morceaux d'une seule gousse d'ail. Puis laissez un peu refroidir le plat."", 'Lavez les légumes, puis coupez-les en rondelles de même épaisseur et si possible de même diamètre.', ""Disposez-les dans le plat, sur l'ail et l'oignon revenus au four, debout par rangée successive : tomate, courgette, tomate, aubergine et ainsi de suite; intercalez les 5 gousses d'ail restante."", ""Salez, poivrez, arrosez d'huile d'olive, et saupoudrez d'herbes de Provence."", 'Enfourner pendant 1 h 30.']",bon marché,4,20,1,21,"['https://assets.afcdn.com/recipe/20160624/568_w314h314c1cx1500cy2248.webp', 'https://assets.afcdn.com/recipe/20160624/566_w314h314c1cx1500cy2248.webp', 'https://assets.afcdn.com/recipe/20130722/567_w314h314c1cx1820cy2604.webp']"
3243,Lentilles Vertes du Puy,https://www.marmiton.org/recettes/recette_lentilles-vertes-du-puy_34542.aspx,4.8,accompagnement,lentilles,,,,très facile,"[""Mettre les lentilles dans une casserole d'eau froide, porter à ébullition. Laisser bouillir 1 min (pas plus)."", ""Egoutter les lentilles.\nEplucher et émincer l'oignon. Couper les carottes et les poireaux en mirepoix, c'est à dire en petits cubes très fins."", ""Dans une cocotte, faire revenir l'oignon émincé et les lardons dans de la graisse d'oie si possible. Ajouter la carotte et le poireau coupés en mirepoix, c'est-à-dire en petits cubes très fins, puis les lentilles égouttées. Laisser colorer légèrement."", ""Couvrir d'eau bouillante, ajouter le bouquet garni, le sel, le poivre, et laisser cuire 30 min à feu doux et à couvert (on peut aussi faire cuire au four)."", 'Pour utiliser ces lentilles en salade, procéder de même mais sans la carotte et le poireau, et remplacer le bouquet garni par du thym et du laurier seulement.']",bon marché,4,10,35,45,"['https://assets.afcdn.com/recipe/20181017/82849_w314h314c1cx1514cy2018cxt0cyt0cxb3029cyb4037.webp', 'https://assets.afcdn.com/recipe/20120203/51300_w314h314c1cx192cy256.webp', 'https://assets.afcdn.com/recipe/20211202/125308_w314h314c1cx2016cy1512cxt0cyt0cxb4032cyb3024.jpeg']"
3244,Guacamole très facile,https://www.marmiton.org/recettes/recette_guacamole-tres-facile_13111.aspx,4.7,apéritif ou buffet,apéritif dînatoire,dip et tartinade,,,très facile,"['Enlevez la peau des avocats.', ""En vous aidant d'une fourchette, écrasez les avocats."", ""Dans un plat, mélangez l'avocat avec l'oignon et en dernier les tomates."", 'Ajoutez le sel ainsi que du citron (et la sauce piquante).', 'Le guacamole accompagne parfaitement chips, nachos ou biscuits salés.']",bon marché,4,10,0,10,"['https://assets.afcdn.com/recipe/20181123/84182_w314h314c1cx2592cy1728cxt0cyt0cxb5176cyb3453.webp', 'https://assets.afcdn.com/recipe/20180621/79729_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20110822/41471_w314h314c1cx256cy192.webp']"
3245,Galettes de courgettes râpées,https://www.marmiton.org/recettes/recette_galettes-de-courgettes-rapees_50134.aspx,4.7,accompagnement,légumes,,,,très facile,"['Peler et râper les courgettes.', 'Les mettre dans une passoire, saupoudrer de sel et laisser dégorger pendant 1 h.', 'Puis, bien les rincer et les sécher dans un torchon en serrant très fort. Mettre dans un saladier.', ""Ajouter la farine, les oeufs, les fines herbes, l'ail haché, le poivre et le sel. Bien mélanger."", 'Si la consistance est très liquide, ajouter un peu de farine.', ""Faire chauffer 4 cuillères à soupe d'huile d'olive dans une poêle."", 'Quand la poêle est bien chaude, y disposer des petits paquets (une cuillère à soupe) de la préparation.', ""Laisser dorer 3 minutes puis les retourner ensuite régulièrement jusqu'à ce que les galettes soient dorées. Ajouter quelques cuillères d'eau dans la poêle si besoin."", 'Servir chaud.']",bon marché,4,30,13,43,"['https://assets.afcdn.com/recipe/20200517/111319_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20200517/111320_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20131009/10395_w314h314c1cx1250cy1863.webp']"
3246,Cheese Naan,https://www.marmiton.org/recettes/recette_cheese-naan_13041.aspx,4.2,accompagnement,pain,naan,,,très facile,"[""Mélanger la farine avec le sel, la levure, l'huile et le yaourt."", ""Travailler la pâte et ajouter si besoin un peu d'eau tiède afin d'obtenir une pâte molle. Laisser reposer 10 minutes."", ""Séparer la pâte en 6 parts que l'on aplatit en forme de galette."", ""Parsemer généreusement de fromage râpé et redonner un ou deux tours à la pâte (c'est à dire la replier et la repasser au rouleau)."", ""Cuire dans une poêle épaisse à revêtement anti-adhésif pendant 3 minutes de chaque côté jusqu'à ce que la galette soit bien gonflée."", 'Servir très chaud.']",bon marché,4,10,6,16,"['https://assets.afcdn.com/recipe/20201110/115456_w314h314c1cx1424cy2144cxt0cyt0cxb2848cyb4288.webp', 'https://assets.afcdn.com/recipe/20200513/111121_w314h314c1cx2880cy1920cxt0cyt0cxb5760cyb3840.webp', 'https://assets.afcdn.com/recipe/20200513/111122_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp']"
3247,Courgettes à la poêle (facile),https://www.marmiton.org/recettes/recette_courgettes-a-la-poele-facile_61259.aspx,4.6,,,,,,très facile,"['Coupez les courgettes en bâtonnets assez épais (un peu comme des frites). Lavez-les.', ""Faites chauffer l'huile d'olive dans une poêle."", ""Une fois que l'huile est chaude, mettez-y les bâtonnets de courgettes, faites-les dorer."", 'Salez, poivrez, et ajoutez le curcuma.', 'Laissez-les cuire entre 8 et 12 minutes, selon que vous appréciez ou non le croquant de la courgette.', ""Après avoir réduit le feu, incorporez la crème fraîche, mélangez jusqu'à ce que la crème ait bien enrobé les courgettes, et servez !""]",bon marché,4,5,10,15,"['https://assets.afcdn.com/recipe/20220505/131763_w314h314c1cx2120cy1416cxt0cyt0cxb4240cyb2832.jpeg', 'https://assets.afcdn.com/recipe/20140704/47900_w314h314c1cx1024cy768.webp', 'https://assets.afcdn.com/recipe/20240927/154283_w314h314c1cx1356cy1356cxt0cyt0cxb2713cyb2713.jpeg']"
3248,Patates douces crousti-moelleuses rôties au four,https://www.marmiton.org/recettes/recette_patates-douces-crousti-moelleuses-roties-au-four_88382.aspx,4.2,,,,,,très facile,"[""Préchauffer le four à 200°C (thermostat 7).\nRecouvrir la plaque du four de papier d'aluminium. Détailler la patate douce en morceaux en forme de frites et répartir sur la plaque."", ""Verser un léger filet d'huile d'olive sur les morceaux de patate douce, nul besoin de trop insister ou d'huiler toutes les faces, le dessus suffira."", 'Enfourner pendant 30 à 40 minutes à 180°C (thermostat 6).', 'Saupoudrer de sel à la sortie du four', ""Déguster à l'apéritif ou pour accompagner une viande en sauce, par exemple.""]",bon marché,4,10,35,45,"['https://assets.afcdn.com/recipe/20131009/9740_w314h314c1cx1772cy2658.webp', 'https://assets.afcdn.com/recipe/20180716/81417_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20150808/14633_w314h314c1cx1632cy1224.webp']"
3249,Petits pois à l'ancienne,https://www.marmiton.org/recettes/recette_petits-pois-a-l-ancienne_39402.aspx,4.7,accompagnement,légumes,,,,très facile,"['Ecosser les petits pois.', 'Dans une casserole, faire revenir les lardons dans du beurre.', ""Lorsqu'ils commencent à colorer, ajouter l'oignon, le coeur de laitue et les petits pois. Recouvrir d'eau, puis ajouter le morceau de sucre, le sel et le poivre."", ""Laisser mijoter à feu doux, 30 minutes environ, jusqu'à ce que les petits pois soient tendres.""]",bon marché,4,15,30,45,"['https://assets.afcdn.com/recipe/20130627/57566_w314h314c1cx1250cy1875.webp', 'https://assets.afcdn.com/recipe/20191105/101925_w314h314c1cx840cy1824cxt0cyt0cxb1680cyb3648.webp', 'https://assets.afcdn.com/recipe/20220330/130503_w314h314c1cx2016cy1512cxt0cyt0cxb4032cyb3024.jpeg']"
3250,Gnocchis faits maison,https://www.marmiton.org/recettes/recette_gnocchis-faits-maison_309952.aspx,4.6,plat principal,"pâtes, riz, semoule",Gnocchis,,,moyenne,"[""Faire cuire les pommes de terre dans l'eau salée bouillante environ 25/30 min jusqu'à ce qu'elles soient bien tendres."", 'Les peler puis les écraser en purée. Laisser refroidir.', ""Sur un plan de travail fariné, former un puit avec la purée. Déposer au centre, le jaune d'oeuf, le poivre, le sel, la muscade et une partie de la farine. Mélanger du bout des doigts en incorporant petit à petit la farine. Vous devez obtenir une boule non collante."", ""Prendre une partie de cette boule et la rouler comme un saucisson plus ou moins épais en fonction de la taille des gnocchis que vous voulez obtenir. Couper des tronçons d'environ 2cm. Transformer chaque tronçon en boule. Appuyer chaque boule sur le dos d'une fourchette et exerçant une petite pression avec le pouce au dos de la boule pour donner la forme du gnocchis."", 'Les disposer séparément sur un torchon.', ""Faire bouillir un grande quantité d'au salée et y plonger les gnocchis délicatement. Ces derniers sont cuits quand ils remontent à la surface (environ 2/3 min)."", ""Faire fondre la noisette de beurre dans une poêle et y faire revenir les gnocchis jusqu'à ce qu'ils soient dorés.""]",bon marché,4,45,35,80,"['https://assets.afcdn.com/recipe/20200318/109115_w314h314c1cx1936cy1296cxt0cyt0cxb3872cyb2592.webp', 'https://assets.afcdn.com/recipe/20220420/131306_w314h314c1cx2120cy1416cxt0cyt0cxb4240cyb2832.webp', 'https://assets.afcdn.com/recipe/20190218/87947_w314h314c1cx782cy782cxt0cyt0cxb1564cyb1564.webp']"
