recette_id,unit,quantity,ingredient
3241,,,poivre
3241,,,sel
3241,,1,beurre
3241,cuillères à soupe,2,crème fraîche
3241,,100,gruyère râpé
3241,,3,oignons
3241,,4,courgettes
3241,,2,oeufs
3242,,,sel
3242,,,poivre
3242,cuillère,1,huile d'olive
3242,,50,beurre
3242,,1,oignon
3242,,300,courgette
3242,,500,tomate
3242,,400,aubergine
3242,gousses,6,ail
3242,,,herbes de Provence
3243,,,sel
3243,,,poivre
3243,,,lardons fumés
3243,,1,poireau
3243,,1,carotte
3243,,1,oignon
3243,,200,lentilles vertes
3243,,1,bouquet garni
3243,,,graisse d'oie
3244,,,sauce piquante
3244,,,coriandre
3244,,,sel
3244,,0.5,oignon
3244,,2,tomates
3244,,2,avocats
3244,,0.5,citron
3245,,,sel
3245,,,poivre
3245,tasse,1,farine
3245,,2,courgettes
3245,gousse,1,ail
3245,,2,oeufs
3245,cuillères à soupe,3,Fines herbes
3246,,,gruyère râpé
3246,cuillère à soupe,1,huile
3246,,5.5,levure chimique
3246,pincée,1,sel
3246,,300,farine
3246,,1,yaourt nature
3246,,,eau
3247,,,sel
3247,,,poivre
3247,cuillère à café,1,curcuma
3247,cuillère à soupe,1,crème fraîche
3247,,2,courgettes
3247,cuillères à soupe,3,huile d'olive
3248,,,sel
3248,,,poivre
3248,,1,patate douce
3248,cuillères à soupe,2,huile d'olive
3249,,,poivre
3249,,,sel
3249,morceau,1,sucre
3249,,30,beurre
3249,,1,oignon
3249,,250,lardons fumés
3249,kg,1,petits pois
3249,,1,laitue
3250,,1,beurre
3250,pincée,1,muscade
3250,,,poivre
3250,,,sel
3250,,250,farine
3250,,500,pomme de terre
3250,,1,jaune d'oeuf
3251,pincée,,curry
3251,,,sel
3251,,,poivre
3251,,,huile
3251,,6,pommes de terre
3252,,,sel
3252,,15,levure
3252,cuillère à soupe,1,sel
3252,,250,farine
3252,cl,12,eau
3252,cuillères à soupe,2,huile d'olive
3252,,,huile d'olive
3253,cuillères à soupe,3,vinaigre balsamique
3253,cuillère à café,1,sucre en poudre
3253,,500,oignon
3253,,,huile d'olive
3254,,,sel
3254,,,poivre
3254,branche,1,thym
3254,,4,fenouil
3254,,1,citron
3254,verre,1,vin blanc
3254,gousses,2,ail
3254,,,huile d'olive
3255,,,sel
3255,,,poivre
3255,,30,beurre
3255,cl,25,crème fraîche
3255,,60,fromage râpé
3255,kg,1,pomme de terre
