id,title,url,rate,Tag1,Tag2,Tag3,Tag4,Tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
2161,Pavés de saumon au four facile,https://www.marmiton.org/recettes/recette_paves-de-saumon-au-four-facile_80135.aspx,4.7,plat principal,poisson,,,,très facile,"['Mettre les pavés de saumon dans un plat allant au four.', 'Couper un citron en 2 et le presser sur les pavés. Couper le demi-citron restant en rondelles et les déposer directement sur le saumon.', 'Ciseler les petits oignons ainsi que le ""vert"" puis les mettre sur les pavés.', 'Ecraser les câpres et les poser sur le saumon (facultatif).', ""Verser le vin blanc et un filet d'huile d'olive sur les saumons, saler (très peu), poivrer et faire cuire à 180°, thermostat 6, pendant environ 25 min.""]",moyen,4,5,25,30,"['https://assets.afcdn.com/recipe/20200219/107897_w314h314c1cx4218cy1918cxt2309cyt0cxb6000cyb3842.webp', 'https://assets.afcdn.com/recipe/20180621/79731_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20151115/32582_w314h314c1cx2064cy1161.webp']"
2162,Houmous (purée de pois chiches),https://www.marmiton.org/recettes/recette_houmous-puree-de-pois-chiches_29761.aspx,4.2,apéritif ou buffet,apéritif dînatoire,dip et tartinade,,,facile,"[""La veille, mettre à tremper les pois chiches dans de l'eau froide."", ""Les mettre dans 2 l d'eau froide avec le laurier et 1 gousse d'ail, porter à ébullition et laisser cuire 1 h 30 à 2 h."", 'Saler et poivrer à mi-cuisson.', ""Egoutter les pois chiches, conserver l'eau de cuisson."", 'Mixer les pois chiches en purée, remettre dans une casserole et chauffer à feu doux.', ""Incorporer 10 cl d'huile tiède en fouettant, allonger un peu de jus de cuissons et du jus de citron."", ""Piler l'ail au mortier avec 2 cuillerées d'huile, rajouter cela dans la casserole hors du feu, saupoudrer 1 pincée de piment."", ""Servir saupoudré de paprika, garni d'olives noires et accompagné de quartiers de citrons."", 'Sans oublier le pain grillé ou le pain libanais !']",moyen,4,30,2,32,"['https://assets.afcdn.com/recipe/20200122/106817_w314h314c1cx2808cy1872cxt0cyt0cxb5616cyb3744.webp', 'https://assets.afcdn.com/recipe/20180712/80837_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20130818/55859_w314h314c1cx1632cy1224.webp']"
2163,Gougères au fromage,https://www.marmiton.org/recettes/recette_gougeres-au-fromage_20095.aspx,4.8,apéritif ou buffet,bouchée ou amuse-bouche,gougères,,,facile,"['Préchauffez le four à 200°C (th 6-7).', ""Dans une casserole, portez 25 cl d'eau à ébullition, avec le beurre coupé en morceaux + 1 cuillère à café de sel."", ""Hors du feu, ajoutez la farine d'un coup."", 'Mélangez vivement, et faites dessécher pendant 1 min sur feu doux.', 'Laissez tiédir quelques instants, et incorporez les oeufs un par un en mélangeant bien.', 'Ajoutez le gruyère râpé, la muscade, le sel et le poivre.', ""Déposez cette pâte à l'aide de 2 cuillères à café, en petits tas séparés, sur une plaque beurrée."", ""Vous pouvez dorer les petites gougères avec un jaune d'oeuf, à l'aide d'un pinceau."", 'Enfournez 25 min en surveillant.', ""C'est prêt""]",bon marché,4,20,25,45,"['https://assets.afcdn.com/recipe/20160513/2643_w314h314c1cx1908cy2861.webp', 'https://assets.afcdn.com/recipe/20160513/2644_w314h314c1cx2000cy3000.webp', 'https://assets.afcdn.com/recipe/20100120/1528_w314h314c1cx192cy256.webp']"
2164,petites brochettes colorées pour l'apéritif,https://www.marmiton.org/recettes/recette_petites-brochettes-colorees-pour-l-aperitif_31054.aspx,4.7,,,,,,très facile,"['Couper le gruyère et le saucisson en dés moyens, égoutter les olives et rincer les tomates cerises. Ensuite embrocher sur chaque cure-dent une tomate cerise, un dé de saucisson, un dé de gruyère puis terminer par une olive.', 'Présenter joliment les brochettes dans un plat et le tour est joué !']",bon marché,4,20,0,20,['https://static.afcdn.com/relmrtn/lazyload.png']
2165,Rillettes de thon au St Moret,https://www.marmiton.org/recettes/recette_rillettes-de-thon-au-st-moret_13632.aspx,4.7,apéritif ou buffet,apéritif dînatoire,dip et tartinade,,,très facile,"[""Coupez l'échalote en tout petits morceaux."", ""Dans un grand bol, émiettez le thon et ajoutez l'échalote. Arrosez avec le jus de citron, puis ajoutez le St Moret."", 'Bien mélanger, versez ensuite quelques gouttes de Tabasco et salez légèrement.', ""Mettre au frais pendant que vous faites griller des tartines de pain de mie que vous coupez en 4. Mettez des fourchettes dans le bol, et servez l'apéro !""]",bon marché,4,5,0,5,"['https://assets.afcdn.com/recipe/20200630/112324_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20181010/82595_w314h314c1cx2376cy1584cxt0cyt0cxb4752cyb3168.webp', 'https://assets.afcdn.com/recipe/20100120/25793_w314h314c1cx256cy192.webp']"
2166,Tarte soleil au pesto de tomates et aux pignons,https://www.marmiton.org/recettes/recette_tarte-soleil-au-pesto-de-tomates-et-aux-pignons_340780.aspx,4.9,"pizza, tarte, quiche",tarte salée,tarte à la tomate,,,facile,"['Étaler le pesto de tomates sur 1 pâte feuilletée en laissant 2 cm au bord sans garniture. Répartir les pignons de pin dessus.', 'Humidifier les bords libres de la pâte et poser la 2ème dessus de façon à recouvrir la garniture. Souder les bords pour bien fermer.', ""Placer un petit verre au centre de la pâte. A l'aide d'un couteau, découper en 4, puis chaque quart en 3, puis chaque part obtenue à nouveau en 2 de façon à obtenir 24 rayons."", 'Préchauffer le four à 180°C (thermostat 6).', 'Torsader chaque rayon délicatement (pour ne pas détacher la base du rayon du centre de la tarte). Les torsader tous dans le même sens.', ""Allonger le jaune d'oeuf d'un peu d'eau, puis, à l'aide d'un pinceau, en badigeonner la pâte."", 'Enfourner pour 30 à 40 minutes de cuisson.', 'Servir encore tiède.']",bon marché,4,15,30,45,"['https://assets.afcdn.com/recipe/20230713/144175_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20151022/8412_w314h314c1cx612cy816.webp', 'https://assets.afcdn.com/recipe/20160124/8411_w314h314c1cx960cy1280.webp']"
2167,Tapenade noire,https://www.marmiton.org/recettes/recette_tapenade-noire_21786.aspx,4.7,apéritif ou buffet,apéritif dînatoire,dip et tartinade,,,très facile,"[""Hacher au couteau les olives, puis peler la gousse d'ail."", ""Egoutter les filets d'anchois et les sécher sur du papier absorbant."", ""Déchirer les filets d'anchois."", 'Egoutter les câpres.', 'Mettre olives, anchois et câpres dans le bol du robot mixeur.', ""Mixer fin et ajouter l'huile d'olive en filet pour obtenir une pâte souple.""]",moyen,4,15,0,15,['https://static.afcdn.com/relmrtn/lazyload.png']
2168,Dips de légumes frais et leurs sauces pour l'apéritif,https://www.marmiton.org/recettes/recette_legumes-frais-et-leurs-sauces_194997.aspx,4.6,,,,,,très facile,"['Pour la sauce au fromage blanc :', ""Mélanger dans un bol à l'aide d'une fourchette la moutarde, le fromage blanc et le vinaigre jusqu'à obtenir un mélange onctueux."", 'Ajouter les herbes, saler et poivrer à votre convenance. Réserver au frais.', 'Pour la sauce ""mayo"" :', ""Mélanger dans un bol à l'aide d'une fourchette la mayonnaise, le ketchup et le tabasco."", 'Réserver au frais.', 'Pour les légumes :', 'Laver et éplucher les légumes. Les couper en lamelles pour les carottes et poivrons. Faire des petits bouquets pour le chou-fleur et couper les tomates cerises en deux. Les répartir joliment dans un plat.', ""Servir les légumes avec leurs sauces. La sauce fromage blanc s'accommodant plus pour les carottes et le chou-fleur et l'autre pour le poivron et les tomates cerises.""]",bon marché,4,30,0,30,"['https://assets.afcdn.com/recipe/20200828/113349_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20130510/20811_w314h314c1cx256cy192.webp', 'https://assets.afcdn.com/recipe/20200828/113348_w314h314c1cx2815cy1876cxt0cyt0cxb5630cyb3753.webp']"
2169,Verrines de betterave et fromage frais,https://www.marmiton.org/recettes/recette_verrines-de-betterave-et-fromage-frais_231301.aspx,4.7,apéritif ou buffet,apéritif dînatoire,verrine,,,très facile,"['Réserver quelques morceaux de betterave: les couper en petits dés puis les faire mariner dans le mélange vinaigre-miel.', 'Mixer le reste des betteraves avec le fromage et la crème fraîche. Saler et poivrer.', 'Verser la mixture dans des verrines, décorer de morceaux de betterave marinés et de cerneaux de noix.', 'Servir frais.']",bon marché,4,20,0,20,"['https://assets.afcdn.com/recipe/20140814/10008_w314h314c1cx900cy1350.webp', 'https://assets.afcdn.com/recipe/20181017/82815_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20160128/6834_w314h314c1cx1224cy1632.webp']"
2170,Accras de morue,https://www.marmiton.org/recettes/recette_accras-de-morue_19897.aspx,4.6,apéritif ou buffet,bouchée ou amuse-bouche,accras,,,très facile,"['Préparation de la morue :', ""Dessaler la morue dans une grande quantité d'eau, changer l'eau très souvent durant 4 heure minimum."", 'Cuire au court-bouillon la morue avec le bouquet garni environ 20 min.', ""Écumer, égoutter, enlever les arêtes et émietter dans une assiette la morue encore tiède (plus facile que de le faire lorsqu'elle est froide)."", 'Préparation de la pâte :', 'Faire un puits avec la farine, mettre le sel, le poivre, la levure et le piment.', 'Incorporer un à un les oeufs, puis le lait en travaillant la pâte avec ces doigts pour obtenir une préparation homogène, un peu molle.', ""Émincer très petit l'oignon, la cive, le persil et les rajouter à la pâte."", ""Recouvrir d'un linge et attendre 1 heure que la pâte gonfle un peu."", 'Finition et cuisson :', 'Incorporer doucement la morue à la pâte.', ""Prélever la pâte par cuillerée à café et plonger dans le bain d'huile bouillante."", 'Retourner lors de la cuisson, comme pour un beignet, retirer lorsque les accras sont bien dorés.', ""Déposer sur un papier absorbant, continuer l'opération jusqu'à épuisement de la pâte."", ""Servir soit à l'apéritif ou comme entrée (les accras accompagnés d'une salade verte et des crudités).""]",bon marché,4,20,5,25,"['https://assets.afcdn.com/recipe/20130124/4077_w314h314c1cx256cy192.webp', 'https://assets.afcdn.com/recipe/20130127/4076_w314h314c1cx256cy192.webp', 'https://assets.afcdn.com/recipe/20130706/4141_w314h314c1cx320cy320.webp']"
