recette_id,unit,quantity,ingredient
2161,,,sel
2161,,,poivre
2161,,5,oignons
2161,,2,saumon
2161,,1,citron
2161,verre,1,vin blanc
2161,,,huile d'olive
2161,,,câpres
2162,,,piment fort
2162,,1,feuille de laurier
2162,,500,pois chiches
2162,gousses,3,ail
2162,,2,citrons
2162,,,huile d'olive
2162,,,paprika
2162,,,olives noires
2163,,,poivre
2163,,,sel
2163,pincée,1,muscade
2163,,80,beurre
2163,,150,farine
2163,,150,gruyère râpé
2163,,4,oeufs
2164,barquette,1,tomates cerise
2164,bocal,1,olives vertes
2164,,1,gruyère
2164,,1,saucisson sec
2165,,,sel
2165,,,tabasco
2165,grosse,1,thon
2165,,1,échalote
2165,boîte,1,Saint Morêt
2165,,,citron
2166,cuillères à soupe,4,pesto
2166,,2,pâtes feuilletées
2166,,75,pignons
2166,,1,jaune d'oeuf
2167,,250,olives noires
2167,filets,6,anchois
2167,cuillères à café,3,câpres au vinaigre
2167,gousse,1,ail
2167,,10,huile d'olive
2168,cuillère à café,1,vinaigre
2168,,,sel
2168,,,poivre
2168,goutte,,tabasco
2168,cuillères à café,2,moutarde
2168,,100,fromage blanc
2168,,1,poivron
2168,,16,tomates cerise
2168,,2,carottes
2168,demi,1,chou-fleur
2168,,,herbes
2168,cuillères à soupe,6,mayonnaise
2168,cuillères à soupe,2,ketchup
2169,,,sel
2169,,,poivre
2169,cuillère à soupe,1,miel liquide
2169,cuillères,2,vinaigre balsamique
2169,,300,betterave
2169,,150,fromage ail et fines herbes
2169,cuillères,2,crème fraîche épaisse
2169,,,cerneau de noix
2170,cuillère à café,0.5,levure chimique
2170,,,piment
2170,,150,farine
2170,branches,2,persil
2170,,1,oignon
2170,,250,morue
2170,,1,bouquet garni
2170,,4,cive
2170,,10,lait
2170,,2,oeufs
2171,sachet,1,levure
2171,,3,huile
2171,cuillère à café,0.5,sel
2171,,500,farine
2171,,2,oeufs
2171,,8,lait
2171,,4,eau
2171,branche,1,thym
2171,pincée,1,poivre
2171,pincée,1,sel
2171,cuillère à café,0.5,gingembre
2171,cuillère à café,1,piment
2171,cuillère à soupe,1,huile
2171,,1,oignon jaune
2171,,1,carotte
2171,,0.25,poivron
2171,,210,thon
2171,,1,pomme de terre
2171,gousses,2,ail
2171,cuillère à soupe,1,concentré de tomates
2171,,10,eau
2171,branche,1,laurier
2171,pincée,1,poivre
2171,pincée,1,sel
2171,,0.5,sucre
2171,cuillère à café,1,piment
2171,,1,oignon
2171,gousses,2,ail
2171,cuillère à soupe,1,concentré de tomates
2171,,7,eau
2171,filet,1,huile d'olive
2172,,1,galette de blé
2172,,1,fromage frais
2172,tranches,3,chorizo
2172,,,salade
2173,,200,lardons
2173,,10,huile
2173,,,poivre
2173,pincée,1,sel
2173,sachet,1,levure
2173,,200,farine
2173,,3,oeufs
2173,,10,lait
2173,,100,gruyère
2173,,150,olives vertes
2174,,,sel
2174,,,poivre
2174,,5,tomates
2174,,,huile d'olive
2174,,,basilic
2175,,1,oignon
2175,cuillères à soupe,2,piment
2175,cuillères à soupe,2,cumin
2175,cuillères à soupe,2,curry
2175,,700,crevette rose
2175,cuillères à soupe,2,paprika
2175,cuillères à soupe,2,fenouil
2175,cuillères à soupe,6,huile d'olive
2175,,1,échalote
2176,,,coriandre
2176,,,thym
2176,,,sel
2176,,,olives noires
2176,,,laurier
2176,,,fenouil
2176,,,ail
2176,,,huile d'olive
2176,,,basilic
2176,,,serpolet
2177,,200,lardons
2177,,125,beurre
2177,cuillères à soupe,3,moutarde
2177,sachet,1,levure
2177,,100,gruyère râpé
2177,,200,farine
2177,,6,oeufs
2178,,50,beurre
2178,,,levure de boulanger
2178,,5,sel
2178,,300,farine
2178,,20,eau
2178,,1,eau
2179,,,sel
2179,,,poivre
2179,,,tabasco
2179,cuillère à soupe,1,persil
2179,cuillère à soupe,1,moutarde
2179,,0.5,piment d'Espelette
2179,pincée,1,sucre en poudre
2179,,1,feuille de laurier
2179,,3,tomates
2179,,1,oignon
2179,,500,pomme de terre
2179,cuillère à soupe,1,concentré de tomates
2179,,1,vin blanc sec
2179,,,huile d'olive
2180,,,poivre
2180,cuillères à soupe,2,vinaigre
2180,,250,anchois
2180,gousses,4,ail
2180,,2,huile d'olive
2181,,1,pâte feuilletée
2181,,75,gruyère râpé
2181,,3,saucisses
2182,,,sel
2182,,,poivre
2182,boîtes,2,sardine
2182,,100,fromage frais
2182,,2,échalotes
2182,,1,ciboulette
2183,,50,fromage râpé
2183,,100,beurre doux
2183,sachet,1,levure
2183,,225,farine
2183,,1,oignon
2183,,200,lardons
2183,,125,lait
2183,,2,oeufs
2184,,,poivre
2184,,,sel
2184,cuillère à café,0.5,piment d'Espelette
2184,cuillère à soupe,1,huile d'olive
2184,,2,avocats
2184,tranches,4,pain aux céréales
2184,gousse,1,ail
2184,,0.5,citron
2185,,,sel
2185,,5,olives
2185,,,herbes de Provence
2186,,,fromage râpé
2186,pincée,1,sel
2186,,25,huile
2186,,15,sésame
2186,,15,flocons d'avoine
2186,,15,graines de tournesol
2186,,25,graines de courge
2186,,65,farine d'épeautre
2186,,67,eau
2187,branches,2,origan
2187,,6,sauce tomate
2187,tranche,1,jambon blanc
2187,,1,pâte feuilletée
2187,boule,1,mozzarella
2187,,1,jaune d'oeuf
2188,,,sésame
2188,,15,levure
2188,,250,farine
2188,cuillère à café,1,sel
2188,cuillère à soupe,1,sucre
2188,,20,beurre
2188,,12,lait
2188,,,tomate
2188,,350,viande hachée
2188,,,toastinette
2188,,,salade
2189,cuillères à soupe,6,huile d'olive
2189,pincée,1,thym
2189,pincée,1,poivre
2189,pincée,1,sel
2189,pointe,1,piment
2189,,5,cognac
2189,,3,oignons
2189,,500,seiche
2189,gousses,3,ail
2189,,200,pulpe de tomate
2189,,15,vin blanc sec
2190,pincée,1,poivre
2190,pincée,1,sel
2190,,100,farine
2190,,1,oignon
2190,,1,oeuf
2190,,20,lait
2190,,75,chapelure
2190,branche,1,persil
2190,pincée,1,poivre
2190,pincée,1,muscade
2190,,20,crème fraîche
2190,,25,fromage frais
2190,,25,cheddar
2190,,1,citron
2191,,,sel
2191,,,huile de friture
2191,cuillère à café,1,harissa
2191,,10,levure de boulanger
2191,,400,farine
2191,,4,oeufs
2191,boîte,1,thon
2191,cuillères à soupe,2,concentré de tomates
2191,,100,olives noires
2192,,,sel
2192,,,poivre
2192,,,persil
2192,,,thym
2192,,2,tomates
2192,,1,oignon
