id,title,url,rate,Tag1,Tag2,Tag3,Tag4,Tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
2521,Mojito cubain,https://www.marmiton.org/recettes/recette_mojito-cubain_80528.aspx,4.6,apéritif ou buffet,cocktail apéritif,mojito,,,facile,"['Dans un verre de taille moyenne (contenance 40 cl environ), mettez 3 cuillères à café de sucre de canne.', ""Ajoutez-y le jus d'1/2 citron vert."", 'Coupez en 3 ou 4 votre branche de menthe et mettez-la dans le verre (le fait de la couper permet à la saveur de la menthe de mieux se diffuser).', ""Ajoutez un peu d'eau gazeuse (environ 3 cl) puis avec une cuillère à café, remuez bien le tout et écrasez la menthe (insistez sur les branches plus que sur les feuilles, sinon il y aura pleins de petits bouts de menthe assez désagréables au moment de déguster votre cocktail!)."", 'Ajoutez 5 glaçons environ.', ""Ensuite versez 6 cl de rhum (en versant à débit moyen). Pour la dose plutôt chargée, comptez jusqu'à 5; pour la dose légère jusqu'à 4."", ""Enfin, complétez avec de l'eau gazeuse.""]",moyen,4,5,0,5,"['https://assets.afcdn.com/recipe/20180601/79373_w314h314c1cx2000cy3000cxt0cyt0cxb4000cyb6000.webp', 'https://assets.afcdn.com/recipe/20180716/81319_w314h314c1cx1764cy992cxt0cyt0cxb3529cyb1984.webp', 'https://assets.afcdn.com/recipe/20130813/24232_w314h314c1cx1311cy1971.webp']"
2522,Punch délicieux,https://www.marmiton.org/recettes/recette_punch-delicieux_42459.aspx,4.9,apéritif ou buffet,cocktail apéritif,punch,,,très facile,"['Dans une cocotte, versez tous les ingrédients.', ""Fermez le couvercle, et laissez macérer pendant 12 h... ça n'en sera que meilleur!"", ""Si vous n'avez pas le temps de le laisser macérer, ce n'est pas grave : il sera délicieux quand même!""]",assez cher,4,10,0,10,"['https://assets.afcdn.com/recipe/20211215/125896_w314h314c1cx2242cy4335cxt0cyt2129cxb4882cyb6096.webp', 'https://assets.afcdn.com/recipe/20180621/79734_w314h314c1cx1777cy2370cxt0cyt0cxb3555cyb4740.webp', 'https://assets.afcdn.com/recipe/20130320/58970_w314h314c1cx256cy192.webp']"
2523,Aperol Spritz : cocktail italien pétillant,https://www.marmiton.org/recettes/recette_aperol-spritz-cocktail-italien-petillant_305639.aspx,4.0,apéritif ou buffet,cocktail apéritif,spritz,,,facile,"['Préparer la quantité de cocktail souhaitée en respectant les proportions !', ""Garnir de glaçons et d'un morceau d'orange (sanguine si possible)."", 'Santé !']",bon marché,4,5,0,5,"['https://assets.afcdn.com/recipe/20180803/81681_w314h314c1cx2250cy1498cxt0cyt0cxb4500cyb2993.webp', 'https://assets.afcdn.com/recipe/20141213/23947_w314h314c1cx1125cy1500.webp']"
2524,Café Mocha,https://www.marmiton.org/recettes/recette_cafe-mocha_232553.aspx,4.6,boissons,boissons chaudes,café,,,facile,"[""Chauffer le lait sur feu doux avec le sucre vanillé et l'extrait de vanille. Ne pas faire bouillir."", ""Dès qu'il est chaud, baisser le feu au minimum et verser sur le lait le café chaud et le chocolat en morceau."", 'Remonter un peu le feu le temps que le chocolat fonde.', 'Fouetter afin de rendre le liquide mousseux.', 'Verser dans des tasses, garnir de crème fouettée et/ou de cacao en poudre.', 'On peut également déposer un bâton de cannelle pour brasser la crème dans le mocha.']",bon marché,4,10,10,20,['https://static.afcdn.com/relmrtn/lazyload.png']
2525,Piña Colada originale,https://www.marmiton.org/recettes/recette_pina-colada-originale_354852.aspx,4.9,apéritif ou buffet,cocktail apéritif,Piña colada,,,très facile,"[""Réalisez la recette Piña Colada au mixer ou au shaker si c'est pour 1 seul verre.\nDans un blender, versez tous les ingrédients avec 5 ou 6 glaçons et mixez le tout. \nC'est prêt ! Versez dans le verre et dégustez.""]",bon marché,4,5,0,5,"['https://assets.afcdn.com/recipe/20180605/79412_w314h314c1cx2000cy3000cxt0cyt0cxb4000cyb6000.webp', 'https://assets.afcdn.com/recipe/20220321/130234_w314h314c1cx1335cy1335cxt0cyt0cxb2671cyb2671.jpeg']"
2526,Sangria simple,https://www.marmiton.org/recettes/recette_sangria-simple_73258.aspx,4.8,apéritif ou buffet,cocktail apéritif,sangria,,,facile,"[""Lavez les agrumes. Pressez le jus de 1 citron, émincez l'autre en fines rondelles."", ""Prélevez l'écorce de l'orange en longue spirale avec un couteau économe, puis pressez le jus."", ""- Versez le vin dans une grande carafe avec les rondelles de citron débarrassées des pépins, le jus de citron et le jus d'orange, le sucre et la cannelle."", 'Tournez pour faire fondre le sucre.', ""Ajoutez l'eau gazeuse. Couvrez."", 'Placez au moins 1 h au frigo avant de servir.', ""- Posez le zeste d'orange à cheval sur le bord de la carafe. Dégustez bien froid.""]",moyen,4,30,0,30,"['https://assets.afcdn.com/recipe/20200304/108771_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20170213/58678_w314h314c1cx1632cy2464.webp']"
2527,Smoothie aux fruits,https://www.marmiton.org/recettes/recette_smoothie-aux-fruits_34628.aspx,4.2,boissons,boissons froides,smoothies,,,très facile,"['Dans un mixer, mettre tous les fruits coupés en gros morceaux (pelés et dénoyautes bien sûr). La banane est essentielle pour avoir une bonne consistance.', 'Les fruits surgelés donnent une boisson fraîche instantanée.', 'Ajouter le lait et mixer.', 'Verser dans deux verres.']",bon marché,4,5,0,5,"['https://assets.afcdn.com/recipe/20130524/63305_w314h314c1cx192cy256.webp', 'https://assets.afcdn.com/recipe/20120801/59542_w314h314c1cx192cy256.webp']"
2528,Sirop de menthe maison,https://www.marmiton.org/recettes/recette_sirop-de-menthe-maison_73645.aspx,4.7,,,,,,très facile,"['- Rincer les feuilles de menthe encore sur leurs tiges (plus facile).', '- Effeuiller et compter les feuilles, il doit y en avoir au minimum 300.', ""- Mettre dans une casserole l'eau froide, le sucre et les feuilles de menthe."", 'Porter à ébullition, laisser bouillir à petit feu pendant 10 min.', '- Laisser refroidir dans la casserole et verser ensuite dans une bouteille en verre en filtrant les feuilles de menthe.', '- Laisser refroidir et conserver au réfrigérateur.']",bon marché,4,15,10,25,"['https://assets.afcdn.com/recipe/20180222/77701_w314h314c1cx1224cy1632cxt0cyt0cxb2448cyb3264.webp', 'https://assets.afcdn.com/recipe/20150516/11908_w314h314c1cx1224cy1632.webp', 'https://assets.afcdn.com/recipe/20150827/16056_w314h314c1cx1224cy1632.webp']"
2529,Cocktail Margarita,https://www.marmiton.org/recettes/recette_cocktail-margarita_11598.aspx,2.9,apéritif ou buffet,cocktail apéritif,margarita,,,moyenne,"['Mettez dans un shaker et agitez vigoureusement tous les ingrédients.', 'Versez dans 1 verre à cocktail avec de la glace pilée.']",moyen,4,2,0,2,['https://static.afcdn.com/relmrtn/lazyload.png']
2530,Caipirinha,https://www.marmiton.org/recettes/recette_caipirinha_23247.aspx,3.9,apéritif ou buffet,cocktail apéritif,Caipirinha,,,très facile,"['Dans un shaker, mélanger tous les ingrédients à de la glace pilée. Bien agiter. Passer dans un verre à whisky rafraîchi, sur glaçons.']",bon marché,4,3,0,3,"['https://assets.afcdn.com/recipe/20230621/143703_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20140130/61631_w314h314c1cx300cy250.webp', 'https://assets.afcdn.com/recipe/20140130/55454_w314h314c1cx300cy250.webp']"
