recette_id,unit,quantity,ingredient
2521,,,rhum
2521,cuillères à café,3,sucre de canne
2521,,0.5,citron vert
2521,branche,1,menthe
2521,,,eau gazeuse
2521,,,glaçons
2522,,,poivre
2522,cuillères à soupe,4,vanille
2522,gousse,1,vanille
2522,,1,rhum
2522,,1,jus de banane
2522,,1,goyave
2522,,1,jus d'ananas
2522,,1,jus d'orange
2522,,1,jus de citron
2522,verres,2,sirop de sucre de canne
2523,,1,orange
2523,verres,3,vin blanc
2523,verres,2,eau
2523,,10,aperol
2523,,5,glaçons
2524,goutte,1,extrait de vanille liquide
2524,,30,chocolat noir
2524,,25,lait
2524,,12,café
2524,sachet,1,sucre vanillé
2524,,,crème chantilly
2524,bâton,,cannelle
2524,,,cacao
2525,,2,rhum ambré
2525,,4,rhum blanc
2525,,12,jus d'ananas
2525,,4,lait de coco
2526,cuillères à soupe,4,sucre en poudre
2526,,1,orange
2526,bouteille,1,vin rouge
2526,,75,eau
2526,,2,citrons
2526,bâton,1,cannelle
2527,,2,abricots
2527,,1,banane
2527,,,fruits
2527,,1,mangue
2527,,2,kiwis
2527,poignée,1,framboises
2527,,1,pêche
2527,,1,ananas
2527,,3,prunes
2527,,0.5,lait écrémé
2527,,,soja
2527,,,glaçons
2528,,600,sucre
2528,feuilles,300,menthe
2528,,60,eau
2529,,5,téquila
2529,,2,jus de citron
2529,,2,triple sec
2530,cuillère à soupe,1,sucre
2530,doses,4,cachaça
2530,dose,1,jus de citron
2530,,,citron vert
2531,,,chocolat
2531,gouttes,3,vanille
2531,,50,lait entier
2531,,1,glace vanille
2531,,,crème chantilly
2532,cuillères à soupe,2,eau de fleur d'oranger
2532,pincée,1,muscade
2532,,100,sucre
2532,tasses,2,fleur d'hibiscus
2532,,2.5,eau
2532,sachets,2,sucre vanillé
2533,,400,sucre
2533,,3,citrons
2533,,50,Alcool
2533,,50,eau
2534,,50,sucre semoule
2534,,1,orange
2534,,2,citrons
2534,,2,eau
2535,,4,figues
2535,,200,sucre en poudre
2535,,200,kéfir
2535,,1,citron
2536,,,sucre
2536,cuillère à soupe,1,café instantané lyophilisé
2536,,20,eau
2536,,,glaçons
2537,,,sucre roux
2537,,1,rhum
2537,,1,jus d'orange
2537,,1,jus de fruit de la passion
2537,,1,goyave
2537,,3,citrons verts
2537,bâtons,3,cannelle
2538,,4,téquila
2538,,2,grenadine
2538,cuillère à café,1,jus de citron
2538,,15,jus d'orange
2539,,30,perles du Japon
2539,sachet,1,thé vert
2539,,5,sirop
2539,gouttes,2,colorant
