id,title,url,rate,Tag1,Tag2,Tag3,Tag4,Tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
4441,La meilleure recette de pâte à crêpes,https://www.marmiton.org/recettes/recette_pate-a-crepes_12372.aspx,4.2,dessert,crêpe,pâte à crêpes,,,facile,"['Mettre la farine dans une terrine et former un puits.', ""Y déposer les oeufs entiers, le sucre, l'huile et le beurre."", ""Mélanger délicatement avec un fouet en ajoutant au fur et à mesure le lait. La pâte ainsi obtenue doit avoir une consistance d'un liquide légèrement épais."", 'Parfumer de rhum.', ""Faire chauffer une poêle antiadhésive et la huiler très légèrement à l'aide d'un papier Essuie-tout. Y verser une louche de pâte, la répartir dans la poêle puis attendre qu'elle soit cuite d'un côté avant de la retourner. Cuire ainsi toutes les crêpes à feu doux.""]",bon marché,4,10,0,10,"['https://assets.afcdn.com/recipe/20211122/124598_w314h314c1cx3176cy2107cxt1161cyt477cxb5347cyb3565.webp', 'https://assets.afcdn.com/recipe/20221013/136173_w314h314c1cx1920cy1080cxt0cyt0cxb3840cyb2160.webp', 'https://assets.afcdn.com/recipe/20180713/81162_w314h314c1cx1944cy2592cxt0cyt0cxb3887cyb5184.webp']"
4442,Gâteau au chocolat fondant rapide,https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx,4.7,dessert,gâteau,gâteau au chocolat,,,très facile,"['Préchauffez votre four à 180°C (thermostat 6).\nDans une casserole, faites fondre le chocolat et le beurre coupé en morceaux à feu très doux.', 'Dans un saladier, ajoutez le sucre, les oeufs, la farine. Mélangez.', 'Ajoutez le mélange chocolat/beurre. Mélangez bien.', ""Beurrez à l'aide d'une feuille de papier essuie-tout et farinez votre moule puis y versez la pâte à gâteau."", 'Faites cuire au four environ 20 minutes.', ""A la sortie du four le gâteau ne paraît pas assez cuit. C'est normal, laissez-le refroidir puis démoulez- le.""]",bon marché,4,10,30,40,"['https://assets.afcdn.com/recipe/20230620/143582_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20190529/93106_w314h314c1cx3744cy2104cxt0cyt0cxb7488cyb4208.webp', 'https://assets.afcdn.com/recipe/20190529/93102_w314h314c1cx1872cy2636cxt0cyt0cxb3744cyb5272.webp']"
4443,Cookies maison,https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx,4.6,dessert,gâteau,petits gâteaux,,,facile,"['Détailler le chocolat en pépites.', ""Préchauffer le four à 180°C (thermostat 6).\nDans un saladier, mettre 75 g de beurre, le sucre, l'oeuf entier, la vanille et mélanger le tout avec une cuillère en bois."", 'Ajouter petit à petit la farine mélangée à la levure, le sel et le chocolat.', 'Avec une feuille de papier essuie-tout, beurrer une plaque allant au four et former les cookies sur la plaque.', 'Pour former les cookies, utiliser 2 cuillères à soupe et faire des petits tas espacés les uns des autres; ils grandiront à la cuisson.', 'Enfourner pour 10 minutes de cuisson.']",bon marché,4,15,10,25,"['https://assets.afcdn.com/recipe/20190529/93153_w314h314c1cx2220cy1728cxt0cyt0cxb4441cyb3456.webp', 'https://assets.afcdn.com/recipe/20221013/136153_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20190529/93149_w314h314c1cx1762cy1175cxt0cyt0cxb3525cyb2350.webp']"
4444,Gâteau au yaourt,https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx,4.6,dessert,gâteau,gâteau au yaourt,,,très facile,"[""Préchauffer le four à 180°C (thermostat 6).\r\n\r\nMélanger tout simplement les ingrédients un à un en suivant l'ordre suivant : levure,"", 'yaourt', 'huile', 'sucre', 'farine', 'oeuf et zeste', ""Beurrer ou huilez un moule à manqué à l'aide d'une feuille de papier essuie-tout et y verser la pâte."", 'Enfourner pour environ 30 minutes de cuisson.', ""Vérifier la cuisson avec la pointe d'un couteau (elle doit ressortir sèche).""]",bon marché,4,15,30,45,"['https://assets.afcdn.com/recipe/20170303/3032_w314h314c1cx1000cy1500cxt0cyt617cxb2000cyb2320.webp', 'https://assets.afcdn.com/recipe/20200828/113345_w314h314c1cx2841cy1816cxt0cyt0cxb5760cyb3840.webp', 'https://assets.afcdn.com/recipe/20190604/93452_w314h314c1cx2691cy1794cxt0cyt0cxb5383cyb3589.webp']"
4445,Gaufres faciles et légères,https://www.marmiton.org/recettes/recette_gaufres-faciles-et-legeres_87278.aspx,4.2,dessert,gaufre,,,,très facile,"[""Mettre la farine dans un saladier, y ajouter le sucre, les jaunes d'œufs et le beurre ramolli."", ""Délayer peu à peu le tout en y ajoutant le lait pour qu'il n'y ait pas de grumeaux."", 'Battre les blancs en neige avec une pincée de sel et les ajouter au restant en remuant délicatement.', 'Cuire le tout dans un gaufrier légèrement beurré.', 'Bon appétit !!']",bon marché,4,15,2,17,"['https://assets.afcdn.com/recipe/20221021/136526_w314h314c1cx3360cy2540cxt1670cyt1060cxb5390cyb4210.webp', 'https://assets.afcdn.com/recipe/20140103/35197_w314h314c1cx1632cy2464.webp', 'https://assets.afcdn.com/recipe/20220829/134642_w314h314c1cx1536cy1536cxt0cyt0cxb3072cyb3072.jpeg']"
4446,Pancakes faciles et rapides,https://www.marmiton.org/recettes/recette_pancakes-faciles-et-rapides_81518.aspx,4.8,dessert,crêpe,pancake,,,très facile,"[""Battre grossièrement l'oeuf et le sucre dans un saladier."", ""Y rajouter le beurre fondu ou l'huile."", 'Mélanger à part la farine et la levure, puis en mélanger la moitié avec la préparation.', ""Délayer progressivement avec le lait tout en rajoutant l'autre moitié de farine petit à petit (cela évitera de créer des grumeaux)."", ""Aucun temps de repos n'est nécessaire, si ce n'est juste le temps de faire chauffer votre poêle à feu moyen. Huilez ou beurrez la poêle à l'aide de papier essuie-tout."", 'A l\'aide d\'une petite louche ou d\'une grosse cuillère à sauce, déposer des ""ronds"" dans la poêle.', ""Lorsque les bulles apparaissent et éclatent, retourner les pancakes et ne pas les laisser plus d'une min sur l'autre face.""]",bon marché,4,5,10,15,"['https://assets.afcdn.com/recipe/20211222/126211_w314h314c1cx1075cy827cxt0cyt0cxb2119cyb1415.webp', 'https://assets.afcdn.com/recipe/20221013/136180_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20180716/81396_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp']"
4447,Galette des rois à la frangipane,https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx,4.7,dessert,galette des rois,galette frangipane,,,très facile,"['Placer une pâte feuilletée dans un moule à tarte, piquer la pâte avec une fourchette.', ""Dans un saladier, mélanger la poudre d'amandes, le sucre, les 2 oeufs et le beurre mou."", 'Placer la pâte obtenue dans le moule à tarte et y cacher la fève.', 'Recouvrir avec la 2ème pâte feuilletée, en collant bien les bords.', ""Faire des dessins sur le couvercle et badigeonner avec le jaune d'oeuf."", 'Enfourner pendant 20 à 30 min à 200°C (thermostat 6-7); vérifier régulièrement la cuisson !']",bon marché,4,10,20,30,"['https://assets.afcdn.com/recipe/20230620/143627_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20141217/841_w314h314c1cx1250cy1875.webp', 'https://assets.afcdn.com/recipe/20180706/80415_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp']"
4448,Tiramisu (recette originale),https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx,4.8,dessert,tiramisu,,,,très facile,"[""Séparer les blancs des jaunes d'oeufs."", 'Mélanger les jaunes avec le sucre roux et le sucre vanillé.', 'Ajouter le mascarpone au fouet.', 'Monter les blancs en neige et les incorporer délicatement à la spatule au mélange précédent. Réserver.', ""Mouiller les biscuits dans le café rapidement avant d'en tapisser le fond du plat."", ""Recouvrir d'une couche de crème au mascarpone puis répéter l'opération en alternant couche de biscuits et couche de crème en terminant par cette dernière."", 'Saupoudrer de cacao.', 'Mettre au réfrigérateur 4 heures minimum puis déguster frais.']",bon marché,4,15,0,15,"['https://assets.afcdn.com/recipe/20190529/93097_w314h314c1cx3008cy2008cxt0cyt0cxb6016cyb4016.webp', 'https://assets.afcdn.com/recipe/20221013/136181_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20170614/69362_w314h314c1cx2011cy3264cxt0cyt0cxb3999cyb6000.webp']"
4449,Clafoutis grand-mère aux cerises,https://www.marmiton.org/recettes/recette_clafoutis-grand-mere-aux-cerises_29896.aspx,4.7,dessert,flan,clafoutis,,,très facile,"[""Préchauffez le four à 210°C (thermostat 7).\nLavez rapidement les cerises sous un filet d'eau fraîche, équeutez-les et égouttez-les. Personnellement j'enlève les noyaux, mais la recette traditionnelle veut qu'on les laisse, donc c'est à vous de voir si vous les laissez ou pas...\n\nFaites fondre les 40 g de beurre dans une petite casserole à fond épais. Mélangez dans un grand bol la farine, le sucre, le sel et le sucre vanillé. Incorporez les oeufs peu à peu puis le lait petit à petit en continuant de mélanger. Ajoutez le beurre fondu."", 'Beurrez grassement le plat, rangez les cerises puis versez la pâte à clafoutis. \nMettez au four pendant 10 mn à 210°C puis baissez à 180°C et cuisez encore 20 mn.', 'Servez le clafoutis froid ou tiède, saupoudré de sucre glace.']",bon marché,4,10,30,40,"['https://assets.afcdn.com/recipe/20190529/93128_w314h314c1cx2880cy1920cxt0cyt0cxb5760cyb3840.webp', 'https://assets.afcdn.com/recipe/20221013/136128_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20190529/93126_w314h314c1cx2464cy1632cxt0cyt0cxb4928cyb3264.webp']"
4450,Flan pâtissier traditionnel,https://www.marmiton.org/recettes/recette_flan-patissier-traditionnel_15330.aspx,4.6,dessert,flan,,,,très facile,"['Faire bouillir le lait avec la gousse de vanille fendue (dans le sens de la longueur).', ""Pendant ce temps, mélanger la Maïzena (tamisée, c'est mieux) avec le sucre."", 'et ajouter les oeufs bien battus.', 'Mélanger le tout (bien homogène)', 'et ajouter le lait bouillant (sans la gousse).', 'Cuire la préparation à feu doux sans cesser de remuer pendant environ 1 à 2 min', 'Préchauffer le four à 200°C (thermostat 6-7). Foncer un plat rectangulaire ou rond préalablement beurré avec la pâte brisée.', 'Piquer le fond.', 'Y verser la préparation.', 'Lisser la surface.', 'Cuire pendant environ 30 à 40 min.', 'Laisser refroidir.', 'Déguster.']",bon marché,4,20,40,60,"['https://assets.afcdn.com/recipe/20160509/38230_w314h314c1cx2000cy3000.webp', 'https://assets.afcdn.com/recipe/20160509/38232_w314h314c1cx1959cy2938.webp', 'https://assets.afcdn.com/recipe/20221013/136185_w314h314c1cx3227cy2109cxt491cyt281cxb6144cyb3456.webp']"
