recette_id,unit,quantity,ingredient
4441,cl,5,rhum
4441,,50,beurre
4441,cuillères à soupe,2,huile
4441,cuillères à soupe,3,sucre
4441,,300,farine
4441,,3,oeufs
4441,cl,60,lait
4442,,100,sucre en poudre
4442,,50,farine
4442,,100,beurre
4442,,200,chocolat pâtissier
4442,,3,oeufs
4443,cuillère à café,1,levure chimique
4443,cuillère à café,1,sel
4443,,100,chocolat noir
4443,,150,farine
4443,,,vanille
4443,,85,sucre
4443,,85,beurre tendre
4443,,1,oeuf
4444,pots,3,farine
4444,pots,2,sucre semoule
4444,paquet,0.5,levure chimique
4444,pot,1,yaourt nature
4444,pot,0.5,huile de colza
4444,,2,oeufs
4444,zeste,1,citron
4445,pincée,1,sel
4445,,20,beurre
4445,,30,sucre
4445,,200,farine
4445,,3,oeufs
4445,cl,25,lait
4446,bonne,1,levure
4446,,150,farine
4446,cuillère à soupe,1,huile
4446,cuillère à soupe,1,sucre
4446,,1,oeuf
4446,,200,lait
4447,,75,beurre tendre
4447,,100,sucre fin
4447,,2,pâtes feuilletées
4447,,140,amandes en poudre
4447,,2,oeufs
4447,,1,jaune d'oeuf
4448,,30,cacao amer
4448,,24,biscuits à la cuillère
4448,,100,sucre roux
4448,,3,oeufs
4448,sachet,1,sucre vanillé
4448,,250,mascarpone
4448,cl,50,café
4449,,,sucre glace
4449,pincée,1,sel
4449,,60,sucre en poudre
4449,,100,farine
4449,,40,beurre
4449,,600,cerises
4449,,4,oeufs
4449,cl,20,lait
4449,sachet,1,sucre vanillé
4450,gousse,1,vanille
4450,,90,maïzena
4450,,150,sucre en poudre
4450,,1,pâte brisée
4450,,4,oeufs
4450,l,1,lait
4451,,125,beurre
4451,,250,farine
4451,,120,sucre
4451,,1,oeuf
4451,sachet,1,sucre vanillé
4452,,100,chocolat noir
4452,,3,oeufs
4452,sachet,1,sucre vanillé
4453,gousse,1,vanille
4453,,200,sucre
4453,,100,farine
4453,l,1,lait
4453,,4,jaunes d'oeuf
4454,cuillères à soupe,4,farine
4454,,100,sucre semoule
4454,,100,beurre doux
4454,,200,chocolat pâtissier
4454,,5,oeufs
4455,,100,crème fraîche
4455,,100,sucre
4455,,700,abricot
4455,cuillère à café,1,maïzena
4455,,1,pâte feuilletée
4455,,2,jaunes d'oeuf
4455,cuillère à soupe,1,semoule
4455,cuillère à soupe,1,lait
4456,,250,sucre semoule
4456,,75,beurre
4456,,150,farine
4456,kg,1,pomme
4456,cuillère à café,1,cannelle
4456,l,,glace vanille
4457,pincée,1,sel
4457,,70,sucre semoule
4457,,125,beurre doux
4457,,250,farine
4457,,2,jaunes d'oeuf
4457,cl,5,eau
4457,cuillère à soupe,1,maïzena
4457,,150,sucre semoule
4457,,4,citrons
4457,,3,oeufs
4457,cuillère à café,0.5,levure chimique
4457,,100,sucre glace
4457,,2,blancs d'oeuf
4458,,75,sucre de canne
4458,cl,25,lait
4458,,3,oeufs
4458,tranches,6,pain
4459,,30,beurre
4459,,1,pâte brisée
4459,,6,pommes
4459,sachet,1,sucre vanillé
4460,,,sel
4460,,125,sucre
4460,,100,farine
4460,,60,beurre
4460,,500,abricot
4460,,4,oeufs
4460,cl,25,lait
4461,,85,beurre
4461,,2,bananes
4461,bonne,1,sel
4461,cuillère à café,0.5,bicarbonate
4461,cuillères à café,2,levure chimique
4461,,160,sucre
4461,,250,farine
4461,cuillères à soupe,2,lait
4461,,2,oeufs
4462,gousse,1,vanille
4462,feuilles,2,gélatine
4462,,50,sucre
4462,cl,50,crème fraîche liquide
4463,,125,farine
4463,paquet,0.5,levure chimique
4463,,120,sucre semoule
4463,paquet,1,sucre vanillé
4463,,3,oeufs
4463,verre,0.5,huile de colza
4463,,3,pommes
4464,,100,crème fraîche
4464,,75,sucre
4464,,1,pâte brisée
4464,,500,reine-claude
4464,,2,oeufs
4465,,150,sucre
4465,,100,beurre
4465,,60,farine
4465,,80,amandes en poudre
4465,,4,blancs d'oeuf
4466,,100,beurre
4466,,8,levure chimique
4466,cuillères à soupe,2,eau de fleur d'oranger
4466,,200,farine
4466,,150,sucre
4466,,3,oeufs
4466,,50,lait
4467,,,sel
4467,,60,farine
4467,,150,sucre
4467,,150,beurre
4467,,250,chocolat pâtissier
4467,sachet,1,sucre vanillé
4467,,3,oeufs
4468,pincée,1,sel
4468,,100,beurre
4468,,125,sucre semoule
4468,,250,farine
4468,,1,oeuf
4468,zeste,1,citron
4469,verre,1,huile
4469,paquet,1,levure chimique
4469,,300,sucre
4469,,300,farine
4469,,4,oeufs
4469,paquet,1,sucre vanillé
4469,verre,1,lait
4470,cuillère à café,1,quatre-épices
4470,cuillère à café,1,gingembre
4470,cuillère à café,1,muscade
4470,cuillère à café,1,anis
4470,sachet,1,levure chimique
4470,,100,sucre en poudre
4470,,250,farine
4470,,250,miel
4470,sachet,1,sucre vanillé
4470,cuillère à café,1,cannelle
4470,,2,oeufs
4470,cl,10,lait
4471,,,banane
4471,,,fraises
4471,,25,sucre glace
4471,,1.5,maïzena
