id,title,url,rate,Tag1,Tag2,Tag3,Tag4,Tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
1561,Taboulé rapide,https://www.marmiton.org/recettes/recette_taboule-rapide_93815.aspx,4.4,salade,Taboulé,,,,très facile,"['Laver, ôtez le pédoncule des tomates et coupez-les en 4. Mixez-les dans un robot. Disposez-les dans un saladier.', 'Épluchez le concombre, coupez-le en gros cubes et mixez-le dans le robot. Disposez-les avec les tomates.', ""Épluchez l'oignon blanc, coupez-le en 4 et disposez-le dans le robot, ajoutez les feuilles de menthe et le jus de citron. Mixez et versez le mélange avec les tomates et le concombre."", 'Ajoutez le persil, le sel, le poivre et la semoule, Remuez bien, poser un couvercle dessus et laissez reposer 35 minutes au frigo pour permettre à la semoule de gonfler.', 'Servir très frais.']",bon marché,4,20,0,20,"['https://assets.afcdn.com/recipe/20200518/111358_w314h314c1cx540cy960cxt0cyt0cxb1080cyb1920.webp', 'https://assets.afcdn.com/recipe/20170113/378_w314h314c1cx1500cy1000.webp', 'https://assets.afcdn.com/recipe/20160514/3524_w314h314c1cx400cy300.webp']"
1562,Gaspacho (Andalousie),https://www.marmiton.org/recettes/recette_gaspacho-andalousie_16193.aspx,4.6,entrée,entrée froide,"gaspacho, soupe froide",,,très facile,"[""Couper les tomates, 1 poivron vert et un rouge, 1 concombre, l'oignon et l'ail, passer le tout au mixer."", 'Ajouter le pain de mie, mixer une nouvelle fois.', ""Assaisonner avec sel,poivre, 4 cuillères à soupe d'huile d'olive, 2 cuillères à soupe de vinaigre de Xérès et de piment (selon les goûts)."", 'Laisser reposer au frais au minimum 2 heures.', 'Détailler en petits dés poivrons et concombre restants ainsi que les oignons nouveaux. Ecraser les oeufs durs à la fourchette. Parsemer la soupe de basilic ciselé.', 'Disposer les garnitures dans des ramequins et chacun accommodera son gaspacho selon ses goûts.']",bon marché,4,15,0,15,"['https://assets.afcdn.com/recipe/20130823/35057_w314h314c1cx2034cy2034.webp', 'https://assets.afcdn.com/recipe/20180628/80111_w314h314c1cx1867cy2489cxt0cyt0cxb3734cyb4979.webp', 'https://assets.afcdn.com/recipe/20150831/37550_w314h314c1cx640cy480.webp']"
1563,Flan de courgettes,https://www.marmiton.org/recettes/recette_flan-de-courgettes_23249.aspx,4.8,entrée,entrée froide,flan salé,,,très facile,"[""Couper les courgettes en très fines rondelles. Les faire revenir dans de l'huile d'olive. Saler, poivrer, cuire environ 10 mm à petit feu."", 'Battre les oeufs et ajouter le fromage + sel + poivre + basilic + lait.', 'Jeter la préparation sur les courgettes. Remuer. NE PAS FAIRE PRENDRE ""L\'OMELETTE"".', 'Mettre au four 180°C pendant 35 mn.', 'SERVIR FROID OU CHAUD avec une sauce mayonnaise + ketchup hot.']",bon marché,4,15,35,50,"['https://assets.afcdn.com/recipe/20190529/93196_w314h314c1cx1920cy2880cxt0cyt0cxb3378cyb4764.webp', 'https://assets.afcdn.com/recipe/20190529/93195_w314h314c1cx3008cy2008cxt0cyt0cxb6016cyb4016.webp', 'https://assets.afcdn.com/recipe/20190529/93194_w314h314c1cx2625cy1750cxt0cyt0cxb5250cyb3500.webp']"
1564,Beignets de fleurs de courgettes et de courges,https://www.marmiton.org/recettes/recette_beignets-de-fleurs-de-courgettes-et-de-courges_229501.aspx,4.9,apéritif ou buffet,bouchée ou amuse-bouche,beignets salés,,,facile,"[""J'ai testé plusieurs recettes de beignets de fleurs de courgettes et aucune ne m'a convaincue. Après plusieurs essais, je vous propose une pâte à frire fluide afin de laisser un minimum de pâte laissant la fleur apparente pour qu'elle exprime tout son arôme et sa texture."", ""Cueillir les fleurs de courgettes mâles au niveau de la tige et l'on ne garde que la fleur en ôtant les parties rugueuses de la tige (tout ce qui est vert)."", ""Pour les fleurs femelles (au bout d'une future courgette), on ne prélève que la partie supérieure de la fleur en laissant la courgette intacte avec un centimètre de fleur."", ""Quand c'est possible, le mieux est de ne pas laver les fleurs pour éviter les projections d'huile lors de la cuisson des beignets."", 'Si les fleurs nécessitent un rinçage, veillez à bien les sécher avec du papier absorbant.', ""Dans un saladier, mélanger la farine, le lait, le jaune d’œuf et la cuillère d'huile d'olive jusqu'à ce que le mélange devienne homogène"", 'Ajouter le basilic frais émincé et mélanger.', 'Dans un bol, monter le blanc de l’œuf en neige auquel on a ajouté au préalable une pincée de sel.', 'Incorporer délicatement le blanc en neige au mélange.', ""Couvrir le fond d'une poêle d'huile d'olive et faire chauffer."", 'Tremper chaque fleur de courgettes dans le mélange pour recouvrir toute la fleur et laisser égoutter pour enlever le surplus de façon à voir la couleur de la fleur.', 'Déposer la fleur dans la poêle et faire cuire des deux côtés.', 'Surveiller la cuisson pour que le beignet dore mais ne brûle pas. La cuisson est très rapide.', 'Déguster chaud avec une salade en entrée ou en accompagnement du plat principal.']",bon marché,4,15,5,20,"['https://assets.afcdn.com/recipe/20230630/143913_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20120824/23975_w314h314c1cx256cy192.webp', 'https://assets.afcdn.com/recipe/20150514/3577_w314h314c1cx1632cy1224.webp']"
1565,Salade de riz d'été facile,https://www.marmiton.org/recettes/recette_salade-de-riz-d-ete-facile_30334.aspx,4.5,salade,salade de riz,,,,très facile,"[""Cuire le riz à l'eau bouillante salée."", ""Une fois cuit, le rincer à l'eau froide pour enlever l'amidon."", 'Quand le riz est froid, ajouter les oeufs coupés en lamelles, les tomates en dés, les olives, le maïs et le thon en miettes.', 'Réserver au réfrigérateur puis servir frais.']",bon marché,4,10,15,25,"['https://assets.afcdn.com/recipe/20190704/94661_w314h314c1cx1872cy1872cxt0cyt0cxb3744cyb3744.webp', 'https://assets.afcdn.com/recipe/20190704/94664_w314h314c1cx2498cy1665cxt0cyt0cxb4996cyb3330.webp', 'https://assets.afcdn.com/recipe/20190704/94663_w314h314c1cx3680cy2456cxt0cyt0cxb7360cyb4912.webp']"
1566,Salade César,https://www.marmiton.org/recettes/recette_salade-cesar_32442.aspx,4.7,salade,salade Cesar,,,,très facile,"[""Faites dorer le pain, coupé en cubes, 3 min dans un peu d'huile."", 'Déchirez les feuilles de romaine dans un saladier, et ajoutez les croûtons préalablement épongés dans du papier absorbant.', ""Préparez la sauce :\nFaites cuire l'oeuf 1 min 30 dans l'eau bouillante, et rafraîchissez-le."", ""Cassez-le dans le bol d'un mixeur et mixez, avec tous les autres ingrédients; rectifiez l'assaissonnement et incorporez à la salade."", 'Décorez de copeaux de parmesan, et servez.']",bon marché,4,15,5,20,"['https://assets.afcdn.com/recipe/20190704/94705_w314h314c1cx2336cy1552cxt0cyt0cxb4672cyb3104.webp', 'https://assets.afcdn.com/recipe/20190704/94709_w314h314c1cx3000cy2000cxt0cyt0cxb6000cyb4000.webp', 'https://assets.afcdn.com/recipe/20190704/94706_w314h314c1cx2128cy1416cxt0cyt0cxb4256cyb2832.webp']"
1567,"Tarte thon, tomate et moutarde",https://www.marmiton.org/recettes/recette_tarte-thon-tomate-et-moutarde_17226.aspx,4.8,"pizza, tarte, quiche",tarte salée,tarte au thon,,,très facile,"['Etaler la pâte feuilletée sur un moule à quiche, piquer le fond de la pâte, puis recouvrir le fond avec la moutarde.', 'Emietter le thon et le répartir sur le fond de la pâte.', 'Laver les tomates et les essuyer, puis les couper en rondelles moyennes, et les disposer sur le thon.', 'Battre les oeufs en omelette, ajouter la crème fraîche plus le lait.', 'Saler et poivrer.', 'Ajouter ce mélange sur la pâte, thon, tomate.', ""Mettre au four (pré-chauffé à 200°C/th 6-7), et cuire environ 40 min (jusqu'à ce que la tarte soit dorée sans être trop brunie!).""]",bon marché,4,15,40,55,"['https://assets.afcdn.com/recipe/20180503/79010_w314h314c1cx1920cy2880.webp', 'https://assets.afcdn.com/recipe/20180628/80053_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20221013/136157_w314h314c1cx1920cy1080cxt0cyt0cxb3840cyb2160.webp']"
1568,Cake salé rapide et facile,https://www.marmiton.org/recettes/recette_cake-sale_28510.aspx,4.5,apéritif ou buffet,apéritif dînatoire,cake salé apéritif,,,facile,"[""Préchauffer le four à 180°C (thermostat 6). Dans un saladier, mélanger la farine, les oeufs, la levure. Ajouter progressivement l'huile d'olive ainsi que le lait. Mélanger jusqu'à obtention d'une pâte lisse."", 'Dans une poêle, faire revenir les lardons, sans rajouter de gras, cela permet de les dégraisser un peu.', 'Verser dans la pâte, les lardons, les dés de jambon, les dés de tomates, le basilic ciselé et les olives coupées en morceaux. Mélanger le tout.', 'Avec la noix de beurre, graisser le moule à cake, puis versez-y la pâte.', 'Mettre au four (qui aura été préchauffé), sur 180°C pendant 40 mn (faire cuire davantage si besoin). Régalez vous!!!']",moyen,4,15,40,55,"['https://assets.afcdn.com/recipe/20221004/135711_w314h314c1cx1826cy1247cxt0cyt0cxb3600cyb2400.webp', 'https://assets.afcdn.com/recipe/20200622/112081_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20200622/112080_w314h314c1cx2880cy1920cxt0cyt0cxb5760cyb3840.webp']"
1569,Tzatziki (Grèce),https://www.marmiton.org/recettes/recette_tzatziki-grece_11797.aspx,4.6,apéritif ou buffet,apéritif dînatoire,dip et tartinade,,,facile,"['Râper le concombre et le faire dégorger 15 min.', ""Le mettre dans un saladier, ajouter l'ail écrasé, la menthe et le coriandre finement hachés, mettre le yaourt, l'huile, le sel et le poivre, remuer et mettre au frais."", 'Le servir très frais avec du pain grec en apéritif, ou tel quel en entrée.']",bon marché,4,25,0,25,"['https://assets.afcdn.com/recipe/20161116/643_w314h314c1cx2808cy1872.webp', 'https://assets.afcdn.com/recipe/20150814/642_w314h314c1cx1416cy2128.webp', 'https://assets.afcdn.com/recipe/20100120/2593_w314h314c1cx256cy192.webp']"
1570,Délicieuse salade de lentilles,https://www.marmiton.org/recettes/recette_delicieuse-salade-de-lentilles_168181.aspx,4.9,salade,Salade de lentilles,,,,très facile,"[""Faire cuire les lentilles comme indiqué sur leur emballage (en générale 30 min dans l'eau froide à partir du bouillonnement de l'eau). Laissez les refroidir, pour aller plus vite, vous pouvez les passées sous l'eau froide."", 'Préparez la vinaigrette.', 'Faites revenir les allumettes de lardons.', 'Coupez les tomates en quartier assez fin (plus agréable en bouche) ainsi que la feta en dès.', 'Ajoutez les lentilles une fois froide ainsi que les lardons, la feta et les tomates dans votre vinaigrette.', 'Bon appétit !']",bon marché,4,10,30,40,"['https://assets.afcdn.com/recipe/20200227/108327_w314h314c1cx540cy960cxt0cyt0cxb1080cyb1920.webp', 'https://assets.afcdn.com/recipe/20200227/108326_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20180201/77285_w314h314c1cx3360cy2240cxt0cyt0cxb6720cyb4480.webp']"
