recette_id,unit,quantity,ingredient
1561,pincée,1,poivre
1561,cuillère,1,sel
1561,cuillères à soupe,4,persil
1561,,5,tomates
1561,,1,concombre
1561,,1,oignon blanc
1561,branches,6,menthe
1561,,200,jus de citron
1561,,400,semoule moyenne
1562,,,sel
1562,,,poivre
1562,cuillères à soupe,2,vinaigre de xérès
1562,,1,oignon
1562,,1.5,poivron vert
1562,,1.5,poivron rouge
1562,,9,tomates
1562,,1.5,concombre
1562,gousse,1,ail
1562,,4,oignons nouveaux
1562,tranche,1,pain de mie
1562,,2,oeufs
1562,,,basilic frais
1562,,,huile d'olive
1563,,100,gruyère râpé
1563,,1,courgette
1563,cuillères,8,lait
1563,,6,oeufs
1563,feuilles,20,basilic
1564,cuillère à soupe,1,huile d'olive
1564,pincée,1,sel
1564,,80,farine
1564,,12,Fleurs
1564,,15,lait
1564,,1,oeuf
1564,feuilles,6,basilic frais
1565,,2,tomates
1565,,500,riz
1565,,200,thon
1565,cuillères à soupe,2,olives vertes
1565,,2,oeufs
1565,,300,maïs
1565,,,sel
1565,,,poivre
1565,pincée,1,curry
1565,cuillère à soupe,1,vinaigre de xérès
1565,cuillères à soupe,2,huile de noix
1566,cuillères à soupe,2,huile
1566,,2,laitue
1566,,25,Parmesan
1566,tranches,4,pain
1566,,,sel
1566,,,poivre
1566,,15,huile
1566,,1,tabasco
1566,cuillère à café,0.5,moutarde
1566,,1,oeuf
1566,,25,parmesan râpé
1566,cuillères à café,2,câpres
1566,,,citron
1566,gousse,1,ail
1567,pincées,2,poivre
1567,pincée,1,sel
1567,,20,crème fraîche
1567,cuillères à soupe,3,moutarde
1567,,2,tomates
1567,,1,pâte feuilletée
1567,boîtes,2,thon
1567,,2,oeufs
1567,cuillères à soupe,3,lait
1568,,1,tomate
1568,,1,beurre
1568,,7,huile d'olive
1568,sachet,1,levure chimique
1568,,200,farine
1568,,100,lardons
1568,,100,dés de jambon
1568,,3,oeufs
1568,,10,lait
1568,,,basilic
1568,,,olives vertes
1569,,,sel
1569,,,poivre
1569,,1,yaourt
1569,,1,concombre
1569,gousse,1,ail
1569,bouquet,1,menthe
1569,cuillères à soupe,4,huile d'olive
1570,,2,tomates
1570,boîte,1,lardons
1570,,120,lentilles
1570,moitié,,feta
1570,pincée,1,curry
1570,,,sel
1570,,,poivre
1570,,1,miel
1570,cuillères à soupe,3,huile de tournesol
1570,cuillères à soupe,3,vinaigre balsamique
1570,,1,huile de noisette
1570,,1,échalote
1571,,1,jambon
1571,,2,tomates
1571,,2,oeufs
1571,,4,pommes de terre
1571,,8,cornichons
1571,,,moutarde
1571,,,sel
1571,,,poivre
1571,,,vinaigre
1571,,,huile
1571,pot,1,mayonnaise
1572,,,sel
1572,,1,oeuf
1572,,,oeuf
1572,,,pain de campagne
1572,,,beurre demi-sel
1573,,,tomates cerise
1573,,,laitue
1573,,4,oeufs
1573,,,gruyère
1573,,,olives noires
1573,,,dés de jambon
1573,,,vinaigrette
1574,,,sel
1574,,,poivre
1574,cuillère à café,1,origan
1574,,1,oignon
1574,,1,poivron vert
1574,,2,tomates
1574,,0.5,concombre
1574,,150,feta
1574,zeste,,citron
1574,,50,olives noires
1575,cuillère à soupe,1,huile d'olive
1575,cuillère à café,1,sel
1575,sachet,1,levure
1575,,500,farine
1575,verre,1.5,eau
1576,cuillère à soupe,1,huile
1576,sachet,1,levure chimique
1576,,75,gruyère râpé
1576,,150,farine
1576,,100,dés de jambon
1576,,150,olives vertes
1576,,4,oeufs
1576,,10,lait
1577,,,sel
1577,,8,tomates
1577,tranches,8,pain de campagne
1577,cuillères à soupe,2,huile d'olive
1577,gousse,1,ail
1578,pincées,2,sel
1578,bottes,2,persil
1578,botte,1,oignon
1578,,4,tomates
1578,botte,1,menthe
1578,,1,boulgour
1578,,1,citron
1578,cuillères,3,huile d'olive
1579,,,sel
1579,,,poivre
1579,,,huile d'olive
1579,,,crème fraîche
1579,,1,concombre
1579,,,basilic
1580,,,sel
1580,,,poivre
1580,,50,crème fraîche
1580,,1,bûche de chèvre
1580,,5,courgettes
1580,,3,oeufs
1580,,1,fond
1580,,,herbes de Provence
1581,,,sel
1581,,,poivre
1581,,,huile d'olive
1581,,,vinaigre de vin
1581,,1,poivron vert
1581,,4,tomates
1581,,4,oeufs
1581,,2,oignons cébettes
1581,,8,févettes
1581,,200,thon
1581,filets,4,anchois
1581,,,olives noires
1581,feuille,,basilic
1581,,8,radis
1581,,4,artichauts violets
1582,,,sel
1582,cuillère,0.5,poivre
1582,cuillère à soupe,1,cumin
1582,,2,aubergines
1582,gousses,2,ail
1582,,50,olives noires
1582,cuillère à soupe,1,paprika
1582,cuillère,0.5,marjolaine
1582,,10,huile d'olive
1583,,,huile d'olive
1583,,,poivre
1583,grosses,2,sucre en poudre
1583,,1,oignon
1583,,400,pâte à pain
1583,,300,anchois
1583,,15,olives noires
1583,,,herbes de Provence
1584,,1,sel
1584,,400,farine
1584,,15,eau
1584,,10,huile d'olive
1585,,,sel
1585,,,poivre
1585,,,huile
1585,,0.5,oignon
1585,,5,oeufs
1585,,,pomme de terre
1585,,,herbes de Provence
1586,,,huile de friture
1586,,,sel
1586,cuillère à café,1,coriandre
1586,cuillère à café,1,cumin en poudre
1586,cuillères à soupe,3,farine
1586,bouquet,1,persil
1586,,1,oignon
1586,,200,pois chiches
1586,,500,fèves
1586,gousses,2,ail
1586,cuillère à café,1,paprika
1586,cuillères à soupe,3,basilic frais
1587,,1,oignon
1587,,,huile
1587,,20,crème fraîche
1587,,3,courgettes
1587,poignées,3,emmental
1587,,100,lardons
1587,,1,pâte brisée
1587,,1,oeuf
