id,title,url,rate,tag1,tag2,tag3,tag4,tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
1,Quiche lorraine maison,https://www.marmiton.org/recettes/recette_quiche-lorraine_30283.aspx,4.7,pizza,tarte,quiche,quiche,quiche lorraine,très facile,"['Préchauffer le four à 180°C (thermostat 6).\r\n\r\nEtaler la pâte dans un moule,', 'la piquer à la fourchette. Parsemer de copeaux de beurre.', ""Faire rissoler les lardons à la poêle puis les éponger avec une feuille d'essuie-tout."", 'Battre les oeufs, la crème fraîche et le lait.', 'Ajouter les lardons.', 'Assaisonner de sel, de poivre et de muscade.', 'Verser sur la pâte.', 'Cuire 45 à 50 min.', ""C'est prêt"", 'Déguster']",bon marché,4,10,45,55,"['https://assets.afcdn.com/recipe/20161128/28118_w314h314c1cx845cy3505cxt0cyt1385cxb3451cyb5177.webp', 'https://assets.afcdn.com/recipe/20221013/136150_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20130204/31291_w314h314c1cx1250cy1875.webp']"
2,Pot-au-feu facile,https://www.marmiton.org/recettes/recette_pot-au-feu-facile_44578.aspx,4.6,plat principal,plat unique,pot-au-feu,,,facile,"['Laver, éplucher tous les légumes, et les couper en morceaux assez gros.', ""Piquer l'oignon entier avec les clous de girofle."", ""Faire bouillir 3 litres d'eau, ajouter tous les légumes, puis le bouquet garni, l'ail, sel, poivre puis la viande."", 'Faire cuire le tout pendant environ 2 h 30-3 h, écumer de temps en temps.', '1 h avant la fin, ajouter les os à moelle, et mettre du gros sel aux extremités pour conserver la moelle.', 'Egoutter les légumes et la viande, et servir bien chaud avec de la moutarde.']",moyen,4,30,2,32,"['https://assets.afcdn.com/recipe/20141014/47748_w314h314c1cx800cy800.webp', 'https://assets.afcdn.com/recipe/20151205/46409_w314h314c1cx800cy600.webp', 'https://assets.afcdn.com/recipe/20161102/47747_w314h314c1cx1632cy918.webp']"
3,Boeuf bourguignon : la vraie recette,https://www.marmiton.org/recettes/recette_boeuf-bourguignon_18889.aspx,4.8,plat principal,viande,viande en sauce,,,facile,"['Détailler la viande en cubes de 3 cm de côté, enlever les gros morceaux de gras.', ""Couper l'oignon en morceaux. Le faire revenir dans une poêle au beurre. Une fois transparent, le verser dans une cocotte en fonte de préférence."", ""Procéder de même avec la viande mais en plusieurs fois, jusqu'à ce que tous les morceaux soient cuits. Les ajouter au fur et à mesure dans la cocotte. Ne pas avoir peur d'ajouter du beurre entre chaque fournée."", ""Quand toute la viande est dans la cocotte, déglacer la poêle avec de l'eau ou du vin et faire bouillir en raclant pour récupérer le suc. Saler, poivrer, ajouter au reste."", 'Recouvrir le tout avec une partie du vin et faire mijoter quelques heures avec le bouquet garni et les carottes en rondelles.', ""Le lendemain, faire mijoter au moins 2 heures en plusieurs fois, ajouter du vin ou de l'eau si nécessaire.""]",moyen,4,1,4,5,"['https://assets.afcdn.com/recipe/20220707/133382_w314h314c1cx1396cy931cxt0cyt162cxb2162cyb1386.webp', 'https://assets.afcdn.com/recipe/20130123/38929_w314h314c1cx500cy752.webp', 'https://assets.afcdn.com/recipe/20100120/33175_w314h314c1cx256cy192.webp']"
4,Ratatouille,https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx,4.8,accompagnement,ratatouille,,,,facile,"['Coupez les tomates pelées en quartiers,', 'les aubergines et les courgettes en rondelles.', 'Emincez les poivrons en lamelles', ""et l'oignon en rouelles."", ""Chauffez 2 cuillères à soupe d'huile dans une poêle"", 'et faites-y fondre les oignons et les poivrons.', ""Lorsqu'ils sont tendres, ajoutez les tomates, l'ail haché, le thym et le laurier."", 'Salez, poivrez et laissez mijoter doucement à couvert durant 45 minutes.', ""Pendant ce temps, préparez les aubergines et les courgettes. Faites les cuire séparemment ou non dans l'huile d'olive pendant 15 minutes."", ""Vérifiez la cuisson des légumes pour qu'ils ne soient plus fermes. Ajoutez les alors au mélange de tomates et prolongez la cuisson sur tout petit feu pendant 10 min."", 'Salez et poivrez si besoin.']",moyen,4,25,55,80,"['https://assets.afcdn.com/recipe/20160624/36724_w314h314c1cx2248cy1500.webp', 'https://assets.afcdn.com/recipe/20160624/36725_w314h314c1cx1455cy2180.webp', 'https://assets.afcdn.com/recipe/20160404/36723_w314h314c1cx1500cy1000.webp']"
5,Pâte brisée vite faite,https://www.marmiton.org/recettes/recette_pate-brisee-vite-faite_31639.aspx,4.7,pizza,tarte,quiche,tarte salée,pâte à tarte salée,très facile,"['Mélanger la farine et le sel dans un plat (et le sucre si sucre il y a).', ""Ajouter le beurre puis l'incorporer à la farine en pétrissant rapidement et légèrement du bout des doigts. On doit obtenir une sorte de semoule grossière en 2 ou 3 min."", ""Incorporer rapidement le lait ou l'eau. Il en faut très peu pour permettre à la pâte de se lier et de faire boule. Le lait ou l'eau ? C'est selon les goûts."", 'Pour étaler sans problème, étaler la pâte sur du papier cuisson et cuire tel quel dans la platine.']",bon marché,4,15,30,45,"['https://assets.afcdn.com/recipe/20210630/121024_w314h314c1cx2600cy2016cxt0cyt0cxb5472cyb3648.webp', 'https://assets.afcdn.com/recipe/20221019/136418_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20160331/12788_w314h314c1cx983cy1500.webp']"
6,Moules marinières,https://www.marmiton.org/recettes/recette_moules-marinieres_13214.aspx,4.4,plat principal,fruits de mer,moules,,,très facile,"['Hachez les échalotes.', 'Grattez bien et lavez les moules. \nMettez-les dans une cocotte avec 1 noix de beurre, les échalotes hachées et le vin blanc.', 'Faites-les ouvrir dans la cocotte couverte, sur feu vif pendant quelques minutes. Mélangez 2 ou 3 fois pendant la cuisson.', ""Dès qu'elles sont ouvertes, retirez les moules de la cocotte en conservant le jus de la cuisson. Déposez-les dans 1 plat creux et gardez-les au chaud."", 'Remettez le jus sur le feu. Malaxez avec 1 fourchette 1 cuillerée à café de farine avec le même volume de beurre ou de margarine. Incorporez le tout au jus de la cuisson des moules sur le feu. Laissez bouillir un instant. Salez poivrez.', 'Versez sur les moules. Saupoudrez de persil haché et servez.']",bon marché,4,45,15,60,"['https://assets.afcdn.com/recipe/20221013/136163_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20211214/125828_w314h314c1cx1309cy793cxt188cyt3cxb2121cyb1414.webp', 'https://assets.afcdn.com/recipe/20180621/79726_w314h314c1cx1726cy2301cxt0cyt0cxb3452cyb4603.webp']"
7,Pâte à pizza épaisse et moelleuse,https://www.marmiton.org/recettes/recette_pate-a-pizza-epaisse-et-moelleuse_58761.aspx,4.6,pizza,tarte,quiche,pizza,,facile,"[""Mettre 350 g de farine dans un grand saladier puis ajouter successivement le sel, la levure boulangère et l'huile d'olive."", ""Verser petit à petit l'eau tiède tout en mélangeant avec une cuillère en bois."", ""Remuer longuement jusqu'à obtention d'une pâte qui se détache du saladier."", 'Laisser reposer la pâte pendant 1h en couvrant le saladier avec un torchon dans un endroit chaud.', 'Après le temps de repos, déposer de la farine sur votre plan de travail y déposer la pâte à pizza.', 'La travailler comme on travaillerait une pâte à pain.', ""Façonner votre pizza aux dimensions de votre plaque à four où l'idéal, c'est de déposer la pâte sur du papier cuisson."", 'Agrémenter votre pizza au grès de vos envies ou de vos restes dans le frigo.']",bon marché,4,20,0,20,"['https://assets.afcdn.com/recipe/20160531/11743_w314h314c1cx2000cy3000.webp', 'https://assets.afcdn.com/recipe/20221013/136154_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20160531/11741_w314h314c1cx2000cy3000.webp']"
8,Courgettes farcies,https://www.marmiton.org/recettes/recette_courgettes-farcies_11192.aspx,4.7,plat principal,plat unique,légumes farcis,,,moyenne,"['Laver les courgettes, ne pas les peler.  Les couper en deux dans le sens de la longueur pour obtenir 4 barquettes.  Evider chaque barquette avec une petite cuillère et conserver la chair à part.', ""Faire revenir la chair de courgette dans la moitié d'huile d'olive avec l'oignon émincé. Ajouter ensuite la viande hachée et faire revenir à nouveau en mélangeant avec une fourchette afin de bien égrener la viande hachée."", ""Dans un plat allant au four, disposer les barquettes de courgettes l'une à côté de l'autre, les remplir de la farce courgette - viande et arroser le tout avec le coulis de tomate ou une boîte de tomates pelées (selon que l'on désire plus ou moins de jus)."", 'Mettre au four 200°C pendant environ 30 à 40 minutes.', 'Quelques minutes avant la fin de la cuisson, parsemer le plat avec le fromage râpé et poursuivre les dernières minutes de cuisson (le fromage fond).  Pour un véritable doré, passer le plat au grill quelques instants.', 'Bon appétit.']",moyen,4,20,50,70,"['https://assets.afcdn.com/recipe/20180601/79378_w314h314c1cx2000cy3000cxt0cyt0cxb4000cyb6000.webp', 'https://assets.afcdn.com/recipe/20180621/79777_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20130405/4121_w314h314c1cx256cy192.webp']"
9,Pomme de terre au four,https://www.marmiton.org/recettes/recette_pomme-de-terre-au-four_14679.aspx,4.8,accompagnement,pommes de terre,pommes au four,,,très facile,"['Préchauffer le four à 180°C / Ther 6.', 'Eplucher les pommes de terre, ou laisser la peau si elle est fine.', ""Les couper dans le sens de la longueur et les placer sur une plaque au four, face bombée contre la plaque. Saler et laisser cuire à four chaud jusqu'à ce que le dessus soit bien doré."", ""Servir chaud accompagnées de salade verte et de toutes sortes de fromages (du kiri pour les enfants en allant jusqu'au maroilles...)."", ""C'est délicieux, économique et sans graisse. Délicieux avec de la cancoillotte !""]",bon marché,4,10,45,55,"['https://assets.afcdn.com/recipe/20221006/135761_w314h314c1cx1112cy833cxt0cyt172cxb2120cyb1414.webp', 'https://assets.afcdn.com/recipe/20180628/80000_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20130823/48510_w314h314c1cx1071cy1500.webp']"
10,Filet mignon de porc à la moutarde,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-a-la-moutarde_36310.aspx,4.9,plat principal,viande,viande rôtie,,,très facile,"['Couper la viande en morceaux et mettre le mélange huile + beurre à chauffer.', 'La faire dorer dans un mélange huile + beurre dans une cocotte.', 'Retirer les morceaux de la cocotte et jeter le surplus de gras.', 'Déglacer la cocotte avec le vin blanc, le bouillon cube, le jus des champignons et la crème (2/3 du pot).', ""Tartiner le filet mignon de moutarde à l'ancienne et le remettre dans la cocotte avec les champignons."", 'Cuire environ 30 min, à feu très doux.', 'En fin de cuisson, ajouter le reste de crème, saler et poivrer.', 'Bon appétit.']",moyen,4,18,47,65,"['https://assets.afcdn.com/recipe/20171004/72705_w314h314c1cx2000cy3000cxt0cyt0cxb4000cyb6000.webp', 'https://assets.afcdn.com/recipe/20160405/8964_w314h314c1cx1500cy1000.webp', 'https://assets.afcdn.com/recipe/20111204/10840_w314h314c1cx256cy192.webp']"
