id,title,url,rate,Tag1,Tag2,Tag3,Tag4,Tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
601,Salade au lard ardennaise,https://www.marmiton.org/recettes/recette_salade-au-lard-ardennaise_19239.aspx,4.3,salade,Salade de pomme de terre,,,,très facile,"[""Faire cuire les pommes de terre à l'eau avec leur peau."", ""Dans un faitout, faire revenir les lardons et l'oignon émincé."", ""Ajouter petit à petit les feuilles de salade, au fur et à mesure qu'elles ramollissent."", 'Ajouter les pommes de terre pelées et coupées en rondelles fines, puis le vinaigre de vin. Saler, poivrer.']",bon marché,4,15,30,45,"['https://assets.afcdn.com/recipe/20170123/39446_w314h314c1cx1872cy2808.webp', 'https://assets.afcdn.com/recipe/20160610/39447_w314h314c1cx1965cy2948.webp', 'https://assets.afcdn.com/recipe/20160610/39444_w314h314c1cx2000cy3000.webp']"
602,Longe de thon à la poêle,https://www.marmiton.org/recettes/recette_longe-de-thon-a-la-poele_309187.aspx,4.8,,,,,,très facile,"[""Versez un peu d'huile d'olive dans une poêle et déposez les longes de thon Albacore, retournez les dès que la chair devient rose (maximum 2 min de chaque côté)."", 'Retirez de la poêle et déglacez avec le jus du ciron et la sauce soja.', ""Déposez sur un lit de mesclun arrosé d'huile d'olive, poivrez, c'est prêt !""]",assez cher,4,5,5,10,['https://static.afcdn.com/relmrtn/lazyload.png']
603,Saumon à l'oseille,https://www.marmiton.org/recettes/recette_saumon-a-l-oseille_34988.aspx,5,,,,,,facile,"[""Hachez grossièrement l'oseille au couteau."", 'Chauffez le beurre dans une sauteuse. Faites-y revenir les échalotes 3 min.', ""Ajoutez l'oseille. Laissez-la fondre 4 min à couvert."", 'Versez le vin.', 'Laissez réduire 3 min environ, puis ajoutez la crème.', 'Salez et poivrez.', 'Laissez mijoter à couvert le temps de cuire le saumon.', ""Salez et poivrez les pavés de saumon. Poêlez-les 5 min de chaque côté dans l'huile chaude."", ""Servez-les nappés de la sauce à l'oseille.""]",moyen,4,15,20,35,['https://static.afcdn.com/relmrtn/lazyload.png']
604,Carne de porco alentejana (Emincé de porc aux vongoles) recette portugaise,https://www.marmiton.org/recettes/recette_carne-de-porco-alentejana-emince-de-porc-aux-vongoles-recette-portugaise_69143.aspx,5,,,,,,facile,"[""La veille, commencez par assaisonner la viande (préalablement coupée en petits dés) avec l'ail, sel, poivre, paprika, laurier et le vin blanc. Laissez mariner au moins une nuit."", ""2 heures avant de commencer la cuisson, faites tremper les vongoles, (si elles sont fraîches) dans de l'eau avec du sel, afin qu'elles perdent leur sable éventuel."", 'Lavez-les bien dans plusieurs eaux et faites-les bien égoutter.', ""Faire frire la viande bien essorée, dans le saindoux, en remuant de temps en temps jusqu'à ce qu'elle soit bien dorée."", 'Ajoutez la marinade et laissez porter à ébullition.', ""Rajoutez les vongoles et laissez cuire encore quelques minutes jusqu'à ce que les vongoles s'ouvrent."", 'Saupoudrez avec la coriandre ciselée. Mélangez bien et servez immédiatement, avec des rondelles de citron en décoration.', 'Accompagnez avec des pommes de terre frites en carrés ou vapeur selon les goûts. Bon appétit.']",moyen,4,2,30,32,['https://static.afcdn.com/relmrtn/lazyload.png']
605,Boeuf mironton,https://www.marmiton.org/recettes/recette_boeuf-mironton_48289.aspx,4,,,,,,très facile,"['Faire cuire le bœuf dans une cocote minute pendant 1 heure environ.', 'La sortir de suite afin que la graisse de la cuisson soit séparée de la viande.', ""Couper la viande en petit morceaux puis l'effilocher. Si vous êtes pressé (e),  mettre la viande dans un robot et hacher la viande mais pas trop pour que les filaments restent visibles."", 'Couper des oignons en petits morceaux, les faire revenir dans du beurre et y ajouter le bœuf effiloché. Laisser à feu doux.', 'Couper les cornichons en rondelles et les ajouter avec le verre de vinaigre blanc au bœuf qui mijote.', 'Ajouter le fond de veau et le poivre.', ""Enfin délayer la maïzena dans un peu d'eau et l'ajouter pour épaissir le tout et bien mélanger. (Environ 1 cuillère à soupe)"", 'Laisser mijoter 10 minutes, le temps que la maïzena épaississe.', 'Servez très chaud, avec du riz.']",bon marché,4,15,130,145,['https://static.afcdn.com/relmrtn/lazyload.png']
606,Chapon farci aux marrons,https://www.marmiton.org/recettes/recette_chapon-farci-aux-marrons_45951.aspx,4.4,plat principal,viande,viande rôtie,,,moyenne,"['Mettre les marrons dans une casserole avec le bouillon, le céleri, et 50 g de beurre, laisser chauffer.', 'Ecraser les foies de volaille à la fourchette, et mélanger à la chair à saucisse.', 'Mettre cette préparation dans un saladier et mélanger avec les oeufs et le cognac. Ajouter les marrons, saler et poivrer.', 'Ajouter les marrons, saler et poivrer.', 'Garnir le chapon avec cette farce et le brider.', 'Mettre au four, et laisser cuire 3 heures à 200°C (th 6-7).', 'Disposer la farce au milieu du plat, entourée de morceaux de chapon.\nMettre le jus de cuisson dans une saucière, et servir à part.']",assez cher,4,25,310,335,"['https://assets.afcdn.com/recipe/20181120/84011_w314h314c1cx2592cy1944cxt0cyt0cxb5176cyb3884.webp', 'https://assets.afcdn.com/recipe/20141214/10544_w314h314c1cx212cy109.webp', 'https://assets.afcdn.com/recipe/20211225/126384_w314h314c1cx1238cy1238cxt0cyt0cxb2476cyb2476.jpeg']"
607,Sauté de porc avec carottes et pommes de terre,https://www.marmiton.org/recettes/recette_saute-de-porc-avec-carottes-et-pommes-de-terre_314141.aspx,4.9,plat principal,viande,viande en sauce,,,facile,"[""Émincer l'oignon et faire revenir dans une cocotte jusqu'à ce que cela soit doré."", 'Couper la viande en petits morceaux et ajouter le porc avec les oignons.', 'Pendant la cuisson, préparer les pommes de terre : éplucher et couper en dès et faire de même pour les carottes.', ""Ajouter les légumes à la viande en remuant de temps en temps pour pas que cela colle. Rajouter de l'huile si nécessaire."", 'Assaisonnez le tout avec le poivre et les herbes.', ""Ajouter 1/2 litre d'eau à la préparation afin que l'eau couvre entièrement le tout et y mettre la farine et le cube."", 'Laisser cuire à feu doux pendant 1h environ sans oublier de remuer de temps en temps. Si les pommes de terre et les carottes sont grosses sinon un peu moins.', ""10min avant la fin de cuisson, rajouter votre fond de veau et laisser mijoter afin que d'obtenir une sauce onctueuse."", 'Rajouter du sel, si nécessaire.', 'Bon appétit :)']",bon marché,4,20,1,21,['https://static.afcdn.com/relmrtn/lazyload.png']
608,Purée de courgettes parfumée aux épices,https://www.marmiton.org/recettes/recette_puree-de-courgettes-parfumee-aux-epices_29591.aspx,4.1,accompagnement,purée,,,,facile,"['Nettoyer les courgettes, les détailler en rondelles épaisses puis les mettre à cuire 15 min dans l’eau bouillante salée.', 'Les laisser égoutter 30 min dans une passoire.', 'Peler et émincer l’oignon et l’ail, puis les faire dorer dans une sauteuse huilée et laisser colorer.', 'Lorsque le mélange commence à blondir, ajouter les courgettes puis les écraser à la fourchette dans la sauteuse en remuant.', ""Saler, poivrer,saupoudrer d'épices, puis laisser chauffer la purée jusqu’à ce qu’elle se dessèche."", 'Saupoudrer enfin de persil haché et déguster bien chaud en accompagnement de grillade, poissons…', 'Pour ceux qui préfèrent la mousseline, la passer au mixeur et déguster.']",moyen,4,15,30,45,['https://static.afcdn.com/relmrtn/lazyload.png']
609,Fajitas avec Tortillas fabrication totalement maison..,https://www.marmiton.org/recettes/recette_fajitas-avec-tortillas-fabrication-totalement-maison_28028.aspx,3.8,plat principal,œufs,omelette,,,facile,"['Préparation des Tortillas :', 'Mélanger les 2 farines avec du sel, creuser une fontaine et ajouter l’eau.', 'Mélanger le tout afin d’obtenir une pâte ferme, lisse, et très malléable.', 'Laisser reposer 30 mn environ (le temps de faire la préparation des fajitas...).', 'Après le temps de repos :', 'Diviser la pâte en 8 boules de la grosseur d’une clémentine.', 'Bien fariner le plan de travail et étendre délicatement la pâte avec un rouleau à pâtisserie bien fariné.', ""Retourner la pâte d'un côté et de l'autre et refariner pour l'étendre finement."", ""N'appuyer pas trop fort avec votre rouleau afin que la pâte ne colle pas au plan de travail."", 'Mettre cuire chaque tortillas dans une poêle anti-adhésive très chaude sans matière grasse pendant 1-2 mn de chaque côté.', ""La pâte doit gonfler. Faire cuire de l'autre côté."", 'Afin que les tortillas ne se dessèchent pas une fois cuites, conservez-les dans un récipient fermé au dessus d’une source de vapeur.', 'Pour la garniture :', 'Mettre cuire la viande hachée avec les oignons et tous les épices possible et imaginables dont vous disposez. Ajouter un peu d’eau et laisser mijoter.', 'Pour la sauce :', 'Mettre dans un robot-mixeur tous les ingrédients.', 'Pour l’accompagnement salade :', 'Émincer finement tous les ingrédients et ajouter l’assaisonnement.', 'Déposer tout sur la table :', 'Tortillas : présentez–les dans un récipient fermé pour qu’elles gardent leur moelleux.', 'La viande.', 'La sauce.', 'La salade composée + la salade verte.', 'Le fromage râpé.', 'De la crème fraîche ou de la guacamole.', 'Et tout ce que vous souhaitez d’autre.']",bon marché,4,1,4,5,['https://static.afcdn.com/relmrtn/lazyload.png']
610,Soupe de ramen (nouilles),https://www.marmiton.org/recettes/recette_soupe-de-ramen-nouilles_41724.aspx,4.4,plat principal,"pâtes, riz, semoule",autres pâtes,,,facile,"[""Amener 1,5 l d'eau à ébullition."", 'Ajouter les ramens, et laisser cuire 4 min.', 'Une fois cuites, mettre les ramens dans des gros bols chinois individuels.', ""Amener à ébullition 2 l d'eau, et mettre les deux cubes de préparation pour canard laqué."", 'Couper très finement le choux.', ""Baisser le feu, et dans l'eau frémissante mettre le choux."", 'Pendant que le choux cuit, couper en fines lamelles le gingembre, les échalotes, et les oignons nouveaux. Ciseler la coriandre.', 'Et mettre chaque ingrédient dans des coupelles.', ""10 min avant la fin de la cuisson, ajouter l'oeuf, et battre au fouet."", 'Une fois le bouillon prêt, le verser dans les bols sur les ramens.', 'Mettre dans le bouillon dans les bols, la coriandre, le gingembre, les oignons, et les échalotes, selon les goûts.', ""Ajuster l'assaisonnement avec la sauce soja et la sauce pimentée.""]",bon marché,4,30,20,50,['https://static.afcdn.com/relmrtn/lazyload.png']
