recette_id,unit,quantity,ingredient
601,,,sel
601,,,poivre
601,,5,vinaigre de vin
601,,1,oignon
601,,250,lardons fumés
601,feuille,,salade
601,,6,pommes de terre
602,cuillère à café,1,poivre
602,cuillères à soupe,2,huile d'olive
602,,2,thon
602,,1,salade
602,,1,citron
602,cuillères à soupe,3,sauce soja
603,cuillères à soupe,2,huile
603,,,sel
603,,,poivre
603,,15,crème fraîche
603,,40,beurre
603,,325,oseille
603,,2,échalotes
603,cuillères à soupe,4,vin blanc sec
603,,4,saumon
604,,1,feuille de laurier
604,,,coriandre
604,,,sel
604,,,poivre
604,,800,porc
604,,800,coques
604,,20,vin blanc
604,gousses,3,ail
604,,,paprika
604,,1,citron
604,,100,saindoux
605,cuillère à soupe,1,fond de veau
605,,,poivre
605,verre,1,vinaigre
605,,,maïzena
605,,2,oignons
605,,,beurre
605,,1.5,boeuf
605,,10,cornichons
606,,,sel
606,,,poivre
606,,1,cognac
606,cuillères à soupe,5,huile
606,,150,beurre
606,,1,chapon
606,,300,chair à saucisse
606,,100,foie
606,,1,marrons
606,,1,bouillon
606,,2,oeufs
606,branche,1,céleri
607,cuillère à soupe,1,huile
607,cuillères à soupe,2,fond de veau
607,cuillère à soupe,1,farine
607,pincée,1,poivre
607,,1,bouillon de légumes
607,,1,oignon
607,,4,carottes
607,,300,sauté de porc
607,,6,pommes de terre
607,pincée,1,herbes de Provence
607,,0.5,eau
608,,,sel
608,,,poivre
608,cuillère à soupe,1,persil
608,pincée,1,piment de Cayenne
608,pincée,1,curry
608,,1,oignon
608,,8,courgettes
608,cuillères à soupe,2,huile d'olive
608,gousses,2,ail
608,pincée,1,paprika
609,,,sel
609,,100,farine de blé
609,,200,farine de maïs
609,,25,eau
609,,,coriandre
609,,,origan
609,,,chili
609,,,cumin
609,,,sel
609,,,poivre
609,,0.5,oignon
609,,400,viande hachée
609,,,paprika
609,,,eau
609,,,persil
609,,,chili
609,,,Ras el Hanout
609,,,cumin
609,,,sel
609,,0.25,oignon
609,,0.5,poivron vert
609,,4,tomates
609,,0.5,concombre
609,,,paprika
609,,,ail
609,,,crème fraîche
609,,,comté
609,,,sel
609,,0.5,oignon
