id,title,url,rate,Tag1,Tag2,Tag3,Tag4,Tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
2881,Béchamel,https://www.marmiton.org/recettes/recette_bechamel_23880.aspx,4.9,sauce salée,béchamel,,,,très facile,"['Faites fondre le beurre dans une casserole à fond épais.', 'Ajoutez la farine et remuez avec une cuillère de bois sans laisser colorer. La farine doit juste épaissir.', ""Versez le lait progressivement, sans cesser de remuer, jusqu'à ce que la sauce épaississe."", 'Assaisonnez de sel, poivre et muscade râpée.']",bon marché,4,0,15,15,"['https://assets.afcdn.com/recipe/20130823/62932_w314h314c1cx1411cy3438cxt0cyt1890cxb3840cyb5087.webp', 'https://assets.afcdn.com/recipe/20180710/80586_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20140409/65469_w314h314c1cx1632cy1224.webp']"
2882,Mayonnaise maison,https://www.marmiton.org/recettes/recette_mayonnaise-maison_26184.aspx,4.5,sauce salée,mayonnaise,,,,très facile,"[""Les ingrédients doivent être à température ambiante.\nMélangez le jaune d'oeuf, un peu de sel, poivre, la moutarde et le vinaigre."", ""Fouetter en versant peu à peu l'huile, la mayonnaise doit peu à peu épaissir."", 'On peut y ajouter des herbes ou du citron pour la parfumer.']",bon marché,4,10,0,10,"['https://assets.afcdn.com/recipe/20220929/135542_w314h314c1cx1481cy709cxt436cyt282cxb2120cyb1210.webp', 'https://assets.afcdn.com/recipe/20130201/60440_w314h314c1cx1250cy1875.webp', 'https://assets.afcdn.com/recipe/20180711/80674_w314h314c1cx2592cy1944cxt0cyt0cxb5184cyb3888.webp']"
2883,Vinaigrette simple et rapide,https://www.marmiton.org/recettes/recette_vinaigrette-simple-et-rapide_81523.aspx,4.6,sauce salée,vinaigrette,,,,très facile,"[""Mélangez la moutarde et le vinaigre. Ajoutez ensuite l'huile. Mélangez bien, voilà c'est prêt !""]",bon marché,4,2,0,2,"['https://assets.afcdn.com/recipe/20150831/4292_w314h314c1cx1694cy2542.webp', 'https://assets.afcdn.com/recipe/20180716/81398_w314h314c1cx1840cy2454cxt0cyt0cxb3681cyb4908.webp', 'https://assets.afcdn.com/recipe/20190219/88038_w314h314c1cx1512cy1789cxt0cyt0cxb3024cyb3578.webp']"
2884,Sauce pesto,https://www.marmiton.org/recettes/recette_sauce-pesto_93290.aspx,3.9,sauce salée,Autres sauces,,,,très facile,"['Emincez les gousses d’ail et les couper en petits morceaux.', 'Hachez le basilic.', 'Mixez les pignons, l’ail, l’huile et le parmesan.', 'A la fin rajoutez le basilic et mixer encore une fois jusqu’à ce que la sauce soit lisse.', 'Assaisonnez de sel et poivre', 'Vous pouvez ensuite conservez cette sauce dans des petits pots de bébé en la congelant ou en la stérilisant']",bon marché,4,30,0,30,"['https://assets.afcdn.com/recipe/20200218/107789_w314h314c1cx2591cy1683cxt0cyt0cxb5616cyb3744.webp', 'https://assets.afcdn.com/recipe/20180716/81426_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20190826/96793_w314h314c1cx1079cy1736cxt0cyt0cxb2159cyb3472.webp']"
2885,Coulis de tomates maison,https://www.marmiton.org/recettes/recette_coulis-de-tomates-maison_24059.aspx,4.7,sauce salée,coulis de légumes,,,,très facile,"[""Peler et épépiner les tomates : pour cela, les tailler en croix à la base et les plonger 30 secondes dans une casserole d'eau bouillante, la peau se retire alors très facilement."", ""Faire chauffer l'huile dans une grande casserole, ajouter les tomates, les gousses d'ail écrasées, le basilic et le sucre. Saler et poivrer, couvrir, et laisser mijoter 20 min à petit feu."", 'Mixer le coulis plus ou moins finement selon les goûts.', 'Conserver en bocaux stérilisés, au congélateur (congeler dans des bacs à glaçons pour portionner) ou bien utiliser de suite sur des pâtes fraîches par exemple.']",bon marché,4,10,20,30,"['https://assets.afcdn.com/recipe/20181203/84547_w314h314c1cx651cy529cxt0cyt0cxb1079cyb1079.png', 'https://assets.afcdn.com/recipe/20120803/24987_w314h314c1cx192cy256.webp', 'https://assets.afcdn.com/recipe/20151121/23071_w314h314c1cx1224cy1632.webp']"
2886,Sauce pour poisson,https://www.marmiton.org/recettes/recette_sauce-pour-poisson_56441.aspx,4.7,sauce salée,Autres sauces,,,,facile,"['Faire fondre le beurre dans une casserole et déglacer avec le jus de citron.', 'Ajouter la crème et la moutarde, bien mélanger.', 'Assaisonner à votre goût avec le sel, le poivre et les herbes.', 'Laisser cuire environ 5 minutes à feu doux. Ajouter éventuellement de la maizena pour épaissir la sauce.', 'Servir pour accompagner votre poisson. Bon appétit !']",bon marché,4,0,15,15,"['https://assets.afcdn.com/recipe/20181017/82886_w314h314c1cx1963cy1563cxt0cyt0cxb3668cyb4889.webp', 'https://assets.afcdn.com/recipe/20140913/22790_w314h314c1cx1024cy768.webp', 'https://assets.afcdn.com/recipe/20150612/39916_w314h314c1cx1500cy1125.webp']"
2887,Sauce bolognaise facile,https://www.marmiton.org/recettes/recette_sauce-bolognaise-facile_25686.aspx,4.6,sauce salée,Autres sauces,,,,très facile,"[""La cuisson se fait dans une sauteuse. Faire revenir dans de l'huile d'olive chaude l'oignon et les 2 gousses d'ail grossièrement hachés, à petit feu pour ne pas qu'ils brûlent. Mélanger souvent."", 'Quand les oignons ont blondis, rajouter les carottes et le navet coupés en petits dés et cuire à feu moyen 5 mn tout en mélangeant souvent.', ""Ajouter 400 g de boeuf haché et cuire en mélangeant souvent, jusqu'à ce que la viande soit un peu cuite."", 'Ajouter les champignons et mélanger.', ""Ajouter le vin et laisser mijoter à feu moyen jusqu'à ce que le vin se soit presque entièrement évaporé."", 'Ajouter le bocal de tomates et la boîte de concentré et mélanger. Baisser le feu.', 'Ajouter 4 pincées de sucre en poudre, sel et poivre (attnetion, pas de trop, il vaut mieux en rajouter par la suite), éventuelles herbes de Provence et feuilles de laurier.', ""Mélanger puis laisser cuire 45 mn à 1h environ, jusqu'à ce que le jus des tomates pelées soit pratiquement disparu. Mélanger de temps en temps pendant la cuisson et surtout ne pas couvrir d'un couvercle."", 'Oter les feuilles de laurier et servez']",bon marché,4,15,1,16,"['https://assets.afcdn.com/recipe/20171115/75051_w314h314c1cx1750cy2625cxt0cyt0cxb3500cyb5250.webp', 'https://assets.afcdn.com/recipe/20200503/110376_w314h314c1cx540cy960cxt0cyt0cxb1080cyb1920.webp', 'https://assets.afcdn.com/recipe/20200503/110377_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp']"
2888,Sauce au poivre toute simple,https://www.marmiton.org/recettes/recette_sauce-au-poivre-toute-simple_28438.aspx,4.5,sauce salée,sauces au poivre,,,,très facile,"['Faire un roux avec le beurre et la farine.', ""Ajouter 1/4 l d'eau en une seule fois et bien mélanger."", ""Ajouter le cube de bouillon, une cuillerée à soupe de vinaigre à l'estragon et une cuillerée à café de poivre mignonette."", 'Faire épaissir.\nAjouter du sel si nécessaire (inutile en principe, à cause du bouillon).', 'Au moment de servir, ajouter du poivre moulu : non, ça ne fait pas double emploi avec le poivre mignonette !', 'Allez-y molo quand même...']",bon marché,4,15,15,30,"['https://assets.afcdn.com/recipe/20181107/83672_w314h314c1cx2496cy2496cxt0cyt0cxb4992cyb4992.webp', 'https://assets.afcdn.com/recipe/20121213/55999_w314h314c1cx256cy192.webp', 'https://assets.afcdn.com/recipe/20180712/80777_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp']"
2889,Coulis de fraise,https://www.marmiton.org/recettes/recette_coulis-de-fraise_55249.aspx,4.8,dessert,sauce sucrée,coulis de fruits rouges,,,très facile,"[""Dans un mixeur, mettre les fraises, le sucre et le jus de citron. Mixer et ajouter l'eau au fur et à mesure."", 'Passer au chinois étamine pour éliminer les pépins.', ""C'est prêt, bon appétit."", 'Parfait pour accompagné tous vos dessert, en particulier la glace vanille.']",bon marché,4,5,0,5,"['https://assets.afcdn.com/recipe/20220428/131580_w314h314c1cx2120cy1416cxt0cyt0cxb4240cyb2832.jpeg', 'https://assets.afcdn.com/recipe/20220324/130290_w314h314c1cx747cy1003cxt0cyt0cxb1494cyb2007.webp', 'https://assets.afcdn.com/recipe/20130614/27010_w314h314c1cx256cy192.webp']"
2890,Sauce blanche pour kebab,https://www.marmiton.org/recettes/recette_sauce-blanche-pour-kebab_81366.aspx,4.8,sauce salée,Autres sauces,,,,très facile,"['Mélanger tous les ingrédients, puis diluer un peu avec le lait de manière à obtenir la consistance désirée.', ""Goûter pour rectifier l'assaisonnement, c'est tout!"", 'Voilà la recette authentique!']",bon marché,4,5,0,5,"['https://assets.afcdn.com/recipe/20161129/33749_w314h314c1cx169cy225.webp', 'https://assets.afcdn.com/recipe/20220421/131333_w314h314c1cx2120cy1416cxt0cyt0cxb4240cyb2832.webp', 'https://assets.afcdn.com/recipe/20240130/148640_w314h314c1cx1382cy1382cxt0cyt0cxb2765cyb2765.jpeg']"
2891,Escargots au beurre persillé,https://www.marmiton.org/recettes/recette_escargots-au-beurre-persille_25188.aspx,4.7,,,,,,facile,"[""Hachez les échalotes, pilez l'ail. M2langez avec le persil, du sel et du poivre. Taravillez le beurre en pommade avec ces ingrédients."", 'Déposez une noix de beurre dans chaque coquille, posez un esgarcot dessus puis recouvrez de beurre. Lissez bien la surface.', ""Placez les escargots dans un plat garni de haricots secs pour qu'ils tiennent bien et ne se renversent pas. Faites cuire 8 minutes au four à 240°C (thermostat 8).""]",moyen,4,20,8,28,"['https://assets.afcdn.com/recipe/20221013/136104_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20130202/26774_w314h314c1cx256cy192.webp']"
2892,Ma sauce tomate maison,https://www.marmiton.org/recettes/recette_ma-sauce-tomate-maison_84489.aspx,4.8,sauce salée,Autres sauces,,,,facile,"['Couper les tomates en petits quartiers en enlevant la partie verte, et les mettre dans un pot type cocotte minute. Faire cuire à feu moyen: les tomates vont baigner dans le jus.', 'Faire réduire les tomates à 3/4 de la hauteur maximale du ""jus"" dans le pot. Une petite écume apparait. A la fin de la cuisson (15 min environ sans couvrir), les tomates ne doivent pas être en bouillie! Il faut donc surveiller et bien remuer pour qu\'elles n\'attachent pas.', 'Ensuite vider le pot en plusieurs fois dans un moulin à légumes et passer la future sauce.', ""Puis faire revenir dans une cocotte en fonte les oignons dans un filet d'huile d'olive. Laisser les oignons devenir transparents."", ""Puis rajouter votre litre de sauce tomate. Faire cuire à feu moyen afin qu'elle bout pendant 15 min environ (sans couvrir):pendant cette étape vous faites réduire votre sauce à votre convenance, épaisse ou non."", ""Puis dès que sa consistance vous plait, faire cuire à feu doux, couvrir (il faut qu'elle mijote tout doucement) et rajouter le sucre, le demi-cube de bouillon de bœuf, les épices (basilic et origan),la petite poignée de gros sel. Faire cuire au minimum 1h et surveiller.""]",bon marché,4,40,1,41,"['https://assets.afcdn.com/recipe/20180109/76612_w314h314c1cx3006cy2919cxt0cyt0cxb6012cyb5839.webp', 'https://assets.afcdn.com/recipe/20200430/110146_w314h314c1cx2880cy1920cxt0cyt0cxb5760cyb3840.webp', 'https://assets.afcdn.com/recipe/20200430/110147_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp']"
2893,Sauce à l'échalote simple,https://www.marmiton.org/recettes/recette_sauce-a-l-echalote-simple_30912.aspx,4.8,sauce salée,Autres sauces,,,,très facile,"[""Émincer les échalotes et les faire revenir dans l'huile d'olive."", 'Un fois dorées, y ajouter le vin blanc : laissez réduire puis ajoutez la crème fraîche et laisser fondre.', ""Vous pouvez également la réaliser avec des oignons, c'est délicieux !""]",bon marché,4,5,5,10,"['https://assets.afcdn.com/recipe/20200709/112624_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20151018/47736_w314h314c1cx635cy624.webp', 'https://assets.afcdn.com/recipe/20230323/141529_w314h314c1cx2016cy1512cxt0cyt0cxb4032cyb3024.jpeg']"
2894,Sauce aux champignons pour steaks,https://www.marmiton.org/recettes/recette_sauce-aux-champignons-pour-steaks_31474.aspx,4.8,sauce salée,Autres sauces,,,,très facile,"['Faire cuire doucement les champignons dans un peu de beurre.', 'Jeter les trois-quart du jus de cuisson et assaisonner avec le sel et le poivre.', ""Ajouter le persil et l'ail."", 'Arroser de Cognac et flamber.', 'Ajouter la crème fluide très doucement en laissant épaissir.', ""Parsemer d'une cuillère à café de fond de veau et remuer."", 'Ajuster selon le goût.']",bon marché,4,0,20,20,"['https://assets.afcdn.com/recipe/20170310/23190_w314h314c1cx3541cy2116cxt0cyt75cxb5580cyb3721.webp', 'https://assets.afcdn.com/recipe/20221123/137812_w314h314c1cx635cy679cxt0cyt0cxb2015cyb1486.webp', 'https://assets.afcdn.com/recipe/20181017/82861_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp']"
2895,Sauce roquefort,https://www.marmiton.org/recettes/recette_sauce-roquefort_24242.aspx,4.5,sauce salée,Autres sauces,,,,très facile,"[""Mettre le lait à chauffer (il n'est pas néceesaire de le faire bouillir)."", 'Ecraser à la fourchette le roquefort pour obtenir des miettes. Le faire fondre dans le lait en remuant constament. Une fois le fromage fondu incorporer la crème fraiche, laisser 5/10 mn à feu doux. La sauce est prête.', ""On peut l'épaissir selon le goût avec fecule de maïs."", 'Elle accompagne parfaitement les pâtes ou nappe les viandes rouges.', 'BON APPETIT A TOUS']",bon marché,4,5,15,20,"['https://assets.afcdn.com/recipe/20200227/108370_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20200227/108372_w314h314c1cx491cy862cxt0cyt0cxb982cyb1724.png', 'https://assets.afcdn.com/recipe/20200227/108369_w314h314c1cx540cy960cxt0cyt0cxb1080cyb1920.webp']"
2896,Chimichurri,https://www.marmiton.org/recettes/recette_chimichurri_64578.aspx,5.0,,,,,,facile,"[""Peler les gousses d'ail et les dégermer."", 'Laver les herbes et enlever les grosses tiges. Mettre tous les ingrédients au robot. Mixer le tout.']",bon marché,4,10,0,10,['https://static.afcdn.com/relmrtn/lazyload.png']
2897,Sauce tomate à tout faire de Jacqueline,https://www.marmiton.org/recettes/recette_sauce-tomate-a-tout-faire-de-jacqueline_36550.aspx,4.8,sauce salée,Autres sauces,,,,facile,"[""Hacher l'oignon, le faire revenir avec l'huile dans un wok ou une sauteuse."", ""Quand l'oignon est transparent, ajouter les tomates fraîches coupées en morceaux, ou les tomates en conserve avec leur jus, en laissant la peau et les graines."", ""Mettre l'ail entier, les herbes (ne pas trop mettre de romarin)."", 'Faire mijoter 20 à 30 min pour que le jus se concentre.', 'Passer la purée de tomate au moulin à légumes (grille moyenne ou fine). Les peaux et pépins restent sur la grille et on obtient une sauce onctueuse.', ""Remettre la sauce dans la sauteuse avec encore 1 à 2 cuillerées d'huile d'olive, le cube de bouillon bien écrasé, le sucre et le concentré de tomate. Bien dissoudre. Faire mijoter encore 10 min."", 'Laisser refroidir, mettre en boîte ou en bouteille.', 'Elle se conserve 8 jours au réfrigérateur.', ""Cette sauce s'utilise :"", '- nature pour accommoder les pâtes, napper les lasagnes (déjà précuites), les cannellonis, les cubes de polenta avant passage au four avec du gruyère éventuellement.', '- comme fond de pizza à garnir', '- pour donner de la couleur à la soupe au pistou ou à une marinade de viande', ""- mélangée à du basilic ciselé et 1/2 gousse d'ail hachée pour un 'pesto' rouge"", '- mélangée à des câpres hachées  pour accommoder de la morue ou autre poisson', ""- mélangée à un coulis de poivron ou une purée d'aubergines sautées"", '- mélangée à quelques gouttes de sauce pimentée', '- mélangée à un jus de daube pour accompagner des grosses pâtes', 'On peut y rajouter, saucisses, chorizo , lardons ou viande hachée revenue.']",moyen,4,10,40,50,"['https://assets.afcdn.com/recipe/20200509/110888_w314h314c1cx879cy540cxt0cyt0cxb1758cyb1080.webp', 'https://assets.afcdn.com/recipe/20200430/110156_w314h314c1cx1739cy2608cxt0cyt0cxb3478cyb5217.webp', 'https://assets.afcdn.com/recipe/20170512/11496_w314h314c1cx2808cy1872.webp']"
2898,Coulis de framboises,https://www.marmiton.org/recettes/recette_coulis-de-framboises_11316.aspx,4.6,dessert,sauce sucrée,coulis de fruits rouges,,,moyenne,"[""Porter l'eau et le sucre à ébullition."", 'Ajouter ce sirop aux framboises et mixer.', 'Passer le coulis au tamis afin d’ôter les pépins.']",moyen,4,10,10,20,"['https://assets.afcdn.com/recipe/20180820/81820_w314h314c1cx3360cy2240cxt0cyt0cxb6720cyb4480.webp', 'https://assets.afcdn.com/recipe/20130823/1087_w314h314c1cx1872cy2808.webp', 'https://assets.afcdn.com/recipe/20150501/22556_w314h314c1cx1280cy960.webp']"
2899,Béchamel facile au Thermomix,https://www.marmiton.org/recettes/recette_bechamel-facile-au-thermomix_359517.aspx,4.0,sauce salée,béchamel,,,,très facile,"['Tout placer dans le bol du Thermomix (le beurre doit être en petits morceaux).', 'Lancer 8 minutes à 90°C à vitesse 5.', 'Donner 2 ou 3  tours de moulin à poivre.']",bon marché,4,3,8,11,['https://static.afcdn.com/relmrtn/lazyload.png']
2900,Sauce hollandaise,https://www.marmiton.org/recettes/recette_sauce-hollandaise_20818.aspx,4.5,sauce salée,hollandaise,,,,facile,"['Pressez le jus du citron, réservez. Coupez le beurre en dés.', ""Battez les jaunes d'oeufs avec 2 cuillerées à soupe d'eau froide."", ""Placez dans un bain-marie chaud et fouettez jusqu'à l'obtention d'une crème mousseuse et légère."", 'Ajoutez alors le beurre en morceaux en plusieurs fois, en fouettant bien à chaque fois.', 'Salez, poivrez et incorporez le jus du citron avant de servir.']",bon marché,4,10,10,20,['https://static.afcdn.com/relmrtn/lazyload.png']
2901,Sauce gruyère,https://www.marmiton.org/recettes/recette_sauce-gruyere_322350.aspx,5.0,sauce salée,Autres sauces,,,,très facile,"['Dans une poêle, faire chauffer la crème a feu doux.', '2 minutes après ajouter le gruyère, puis le poivre et le sel.', ""Remuer jusqu'à que la sauce soit bien épaisse."", 'La sauce peut être inséré dans un tacos style steak-nuggets.']",bon marché,4,1,10,11,['https://static.afcdn.com/relmrtn/lazyload.png']
2902,Sauce béarnaise facile,https://www.marmiton.org/recettes/recette_sauce-bearnaise-facile_69112.aspx,4.7,sauce salée,Autres sauces,,,,moyenne,"[""Dans un poêlon, verser le vin blanc, le vinaigre ainsi que 2 cuillères d'estragon, sel, poivre ainsi que l'échalote émincée."", 'Faire cuire +/- 10 minutes afin de réduire un peu.', 'Retirer du feu et attendre quelques minutes. Ajouter les 2 jaunes et fouetter.', ""Remettre sur le feu doux et mélanger sans arrêt pour monter la béarnaise. Attention les jaunes d'oeufs cuisent à 70° donc bien mélanger et surveiller la cuisson."", 'Dès que le sabayon est pris, retirer du feu et ajouter le beurre bien froid coupé en petits morceaux (morceau par morceau)', 'Bien mélanger au fouet.', ""Rectifier l'assaisonnement et ajouter l'estragon restant.""]",bon marché,4,20,10,30,"['https://assets.afcdn.com/recipe/20200430/110184_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20130909/29910_w314h314c1cx1848cy2804.webp', 'https://assets.afcdn.com/recipe/20200430/110185_w314h314c1cx540cy960cxt0cyt0cxb1080cyb1920.webp']"
2903,Sauce au beurre blanc pour poisson,https://www.marmiton.org/recettes/recette_sauce-au-beurre-blanc-pour-poisson_70522.aspx,4.6,sauce salée,Autres sauces,,,,très facile,"['Couper finement une échalote.', 'Dans une casserole, sur feu doux, faire suer l’échalote avec ½  verre de vin blanc et le jus d’un demi-citron. Laisser un peu évaporer le vin et le citron.', 'On peut exécuter cette étape un peu à l’avance, pendant la cuisson du poisson par exemple.', 'Au moment de servir, faire fondre 30 à 40 grammes de beurre dans la sauce, puis délayer avec 10 cl de crème fraîche.']",bon marché,4,5,10,15,"['https://assets.afcdn.com/recipe/20200218/107781_w314h314c1cx971cy2254cxt0cyt1438cxb2000cyb3008.webp', 'https://assets.afcdn.com/recipe/20180621/79736_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20130806/29285_w314h314c1cx968cy1296.webp']"
2904,Purée de piment pour assaisonnement,https://www.marmiton.org/recettes/recette_puree-de-piment-pour-assaisonnement_24472.aspx,4.8,,,,,,très facile,"['Oter les queues des piments (attention aux doigts, ils sont forts).', ""Prendre un mixeur, ajouter les oignons coupés en deux, les gousses d'ails, les piments et le cube de bouillon."", 'Mixer selon votre goût, cela peut-être en petits morceaux ou en purée.', ""Une fois que tout est mixé, le mettre dans un bocal possédant un couvercle (pot de confiture), recouvrir le piment d'une fine couche d'huile d'olive."", ""Au fur et à mesure que le piment diminue ajouter de l'huile si nécessaire.""]",bon marché,4,10,0,10,['https://static.afcdn.com/relmrtn/lazyload.png']
2905,Sauce chien (Antilles),https://www.marmiton.org/recettes/recette_sauce-chien-antilles_15919.aspx,4.4,sauce salée,Autres sauces,,,,très facile,"[""Porter l'eau à ébullition. Hacher finement oignon, échalotes, persil, piment."", 'Verser le tout dans un grand bol,', ""ajouter le jus d'un citron, sel, poivre, vinaigre et huile."", ""Verser dessus 1 à 2 verre d'eau bouillante, laisser infuser."", ""Cette spécialité antillaise (attention, c'est fort) accompagne parfaitement grillades, viandes et poisson."", ""En l'agrémentant d'une cuillère à soupe de moutarde, elle accompagne idéalement le riz.""]",bon marché,4,10,2,12,['https://static.afcdn.com/relmrtn/lazyload.png']
2906,Ketchup,https://www.marmiton.org/recettes/recette_ketchup_18413.aspx,4.8,sauce salée,ketchup,,,,très facile,"['Lavez et essuyez les tomates.', ""Coupez les tomates en 6 , mettez les dans une cocotte avec les oignons et les gousses d'ail épluchées et coupées grossièrement."", 'Posez sur feu assez vif et laissez cuire une petite 1/2 heure.', 'Passez au moulin à légumes, grille fine, pour obtenir un coulis.', ""Versez dans une casserole, ajoutez le vinaigre et les épices et faites cuire 3/4 d'heure pour réduire de moitié et obtenir une consistance sirupeuse."", 'Mixez si vous voulez éliminer les éventuels morceaux.', ""Ajoutez le sucre et remettez sur le feu pendant 1/4 d'heure."", 'Versez dans les bocaux (ou flacon de ketchup industriel récupéré).', 'Laissez attendre 3-4 jours au réfrigérateur avant de consommer.', 'Conservation : 2-3 mois au réfrigérateur.', 'Bon appétit !']",bon marché,4,30,130,160,"['https://assets.afcdn.com/recipe/20131009/39401_w314h314c1cx2042cy3060.webp', 'https://assets.afcdn.com/recipe/20221013/136068_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20130505/39933_w314h314c1cx256cy192.webp']"
2907,Sauce au pistou,https://www.marmiton.org/recettes/recette_sauce-au-pistou_23902.aspx,4.8,sauce salée,Autres sauces,,,,très facile,"[""Presser l'ail et le placer dans un mortier."", ""Hacher le basilic à la main (il garde ainsi toute sa saveur) et l'ajouter à l'ail dans le mortier."", ""Piler dans le mortier pour bien réduire le basilic en purée, puis ajouter tout doucement l'huile d'olive (comme pour une mayonnaise, en pilant bien) pour faire monter la sauce."", 'Il faut arriver à une espèce de pommade liquide, mais pas trop huileuse. Saler à volonté.', ""A servir avec des pâtes au pistou. A préparer pas trop longtemps à l'avance, le reste peut servir pour garnir des tomates à la provencale ou des filets de poisson en papillotes.""]",bon marché,4,30,0,30,['https://static.afcdn.com/relmrtn/lazyload.png']
2908,Pesto de roquette,https://www.marmiton.org/recettes/recette_pesto-de-roquette_229245.aspx,5.0,sauce salée,pesto,,,,facile,"['Disposez les amandes dans un plat et passez-les au four pendant 10 min à 170°C (thermostat 5-6).', ""Retournez-les de temps en temps. Laissez refroidir. Concassez-les et mixez-les avec la roquette, le parmesan, la gousse d'ail et l'huile d'olive."", 'Salez et poivrez.', 'Servez le pesto avec des pâtes ou sur une salade de tomates.']",bon marché,4,5,10,15,['https://static.afcdn.com/relmrtn/lazyload.png']
