id,title,url,rate,tag1,tag2,tag3,tag4,tag5,difficulty,budget,people,prep_time,cooking_time,total_time
1,Pot-au-feu facile,https://www.marmiton.org/recettes/recette_pot-au-feu-facile_44578.aspx,4.6,plat principal,plat unique,pot-au-feu,,,facile,moyen,4,30,2,32
2,Boeuf bourguignon : la vraie recette,https://www.marmiton.org/recettes/recette_boeuf-bourguignon_18889.aspx,4.8,plat principal,viande,viande en sauce,,,facile,moyen,4,1,4,5
3,Moules marinières,https://www.marmiton.org/recettes/recette_moules-marinieres_13214.aspx,4.4,plat principal,fruits de mer,moules,,,très facile,bon marché,4,45,15,60
4,Courgettes farcies,https://www.marmiton.org/recettes/recette_courgettes-farcies_11192.aspx,4.7,plat principal,plat unique,légumes farcis,,,moyenne,moyen,4,20,50,70
5,Filet mignon de porc à la moutarde,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-a-la-moutarde_36310.aspx,4.9,plat principal,viande,viande rôtie,,,très facile,moyen,4,18,47,65
6,Lasagnes à la bolognaise,https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise_18215.aspx,4.9,plat principal,"pâtes, riz, semoule",lasagne,,,moyenne,moyen,4,30,135,165
7,Aubergines au four,https://www.marmiton.org/recettes/recette_aubergines-au-four_13572.aspx,4.3,plat principal,plat végétarien,aubergine,,,très facile,bon marché,4,5,35,40
8,Couscous poulet et merguez facile,https://www.marmiton.org/recettes/recette_couscous-poulet-et-merguez-facile_17751.aspx,4.8,plat principal,plat unique,couscous,,,très facile,bon marché,4,30,35,65
9,"Pâtes à la '"carbonara'" à la française",https://www.marmiton.org/recettes/recette_pates-a-la-carbonara_80453.aspx,4.5,plat principal,"pâtes, riz, semoule",pâtes en sauce,,,très facile,bon marché,4,10,10,20
10,Poulet au four simple et savoureux,https://www.marmiton.org/recettes/recette_poulet-au-four-version-light_218020.aspx,4.8,plat principal,viande,viande rôtie,,,facile,moyen,4,15,140,155
11,Délicieuse marinade pour poulet,https://www.marmiton.org/recettes/recette_delicieuse-marinade-pour-poulet_345860.aspx,4.4,plat principal,viande,,,,très facile,bon marché,4,5,30,35
12,Cuisses de poulet au four,https://www.marmiton.org/recettes/recette_cuisses-de-poulet-au-four_67408.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,35,45
