id,recetteid,unit,quantite,ingredient
1,1,,,sel
2,1,,,poivre
3,1,,4.0,clous de girofle
4,1,,1.0,oignon
5,1,,2.0,poireaux
6,1,,5.0,carottes
7,1,kg,1.0,boeuf
8,1,,,os à moelle
9,1,branches,2.0,céleri
10,1,gousse,1,ail
11,1,bouquet,1.0,garni
12,2,,,poivre
13,2,,,sel
14,2,g,100.0,beurre
15,2,bouteille,1.0,vin rouge
16,2,,4.0,carottes
17,2,,4.0,oignons
18,2,g,600.0,bourguignon
19,2,bouquet,1.0,garni
20,3,,,poivre
21,3,,,sel
22,3,,,persil
23,3,cuillère à café,1.0,rase farine
24,3,g,30.0,beurre
25,3,,4.0,lmoules
26,3,,2.0,échalotes
27,3,"cl, blanc",15.0,vin sec
28,4,g,50.0,fromage râpé
29,4,,1.0,oignon
30,4,g,50.0,huile d'olive
31,4,,,sel
32,4,,,poivre
33,4,,2.0,courgettes
34,4,g,600.0,porc
35,4,cl,20.0,coulis de tomate
36,5,,,beurre
37,5,,,huile d'olive
38,5,,,moutarde
39,5,cl,40.0,crème fraîche
40,5,bouillon,1.0,de légumes
41,5,filet,1.0,mignon
42,5,"cl, blanc",25.0,vin sec
43,5,g,500.0,champignon
44,6,g,125.0,beurre
45,6,g,100.0,farine
46,6,,,poivre
47,6,,,sel
48,6,g,70.0,fromage râpé
49,6,pincées,3.0,muscade
50,6,,,thym
51,6,feuilles,2.0,de laurier
52,6,cl,20.0,vin rouge
53,6,g,800.0,purée de tomate
54,6,,1,carotte
55,6,,3.0,oignons jaunes
56,6,paquet,1,lasagnes
57,6,gousses,2,ail
58,6,branche,1.0,céleri
59,6,g,600.0,boeuf haché
60,6,cl,15.0,eau
61,6,,,basilic
62,6,g,125.0,Parmesan
63,6,,1.0,llait
64,7,,,sel
65,7,,,poivre
66,7,,,huile d'olive
67,7,,4.0,aubergines
68,7,,,herbes de Provence
69,8,g,400.0,pois chiches
70,8,,2.0,courgettes
71,8,,5.0,carottes
72,8,,3.0,tomates
73,8,,2.0,cubes de bouillon
74,8,cuillère à café,1.0,harissa
75,8,,,huile d'olive
76,8,,12.0,merguez
77,8,,8.0,pilons de poulet
78,8,boîtes,2.0,concentré de tomates
79,8,cuillères à soupe,3,épices à couscous
80,8,,10.0,navets
81,9,,1.0,oignon
82,9,g,250.0,lardons
83,9,,,poivre
84,9,pincée,1.0,sel
85,9,cl,50.0,crème fraîche
86,9,g,500.0,pâtes
87,9,,3.0,jaunes d'oeuf
88,10,,,poivre
89,10,poignée,1.0,petite sel
90,10,feuille,,de laurier
91,10,poignée,1.0,tomates cerise
92,10,,2.0,oignons
93,10,,1.0,poulet
94,10,gousses,3.0,ail
95,10,cl,1.0,jus de citron
96,10,bouillon,1.0,de volaille
97,11,cuillères à soupe,2.0,huile
98,11,cuillères à soupe,2.0,vinaigre balsamique
99,11,cuillères à soupe,2.0,miel
100,11,,,sel
101,11,,,poivre
102,11,blancs,4.0,de poulet
103,11,cuillères à soupe,2.0,jus de citron
104,11,cuillère,1.0,sauce soja
105,11,gousses,2.0,ail
106,12,cuillère à soupe,1.0,huile d'olive
107,12,,1.0,clou de girofle
108,12,feuilles,2.0,de laurier
109,12,cuillère à café,1.0,thym
110,12,,1.0,oignon
111,12,,4.0,cuisses de poulet
112,12,cl,50.0,eau
113,12,gousse,1.0,ail
114,12,bouillon,1.0,de volaille
115,12,,3.0,genièvre
116,13,,,huile d'olive
117,13,,1.0,piment
118,13,cuillère à café,1.0,curcuma
119,13,,,sel
120,13,,,poivre
121,13,,,thym
122,13,,4.0,oignons
123,13,,4.0,tomates
124,13,,6.0,saucisses
125,13,gousses,6.0,ail
126,13,,,laurier
127,14,,,sel
128,14,,,poivre
129,14,,,beurre
130,14,,,persil
131,14,,,thym
132,14,,3.0,oignons
133,14,,4.0,tomates
134,14,g,500.0,chair à saucisse
135,14,gousses,2.0,ail
136,15,,1.0,thym
137,15,,1.0,sel
138,15,,1.0,poivre
139,15,cuillères à soupe,2.0,huile d'olive
140,15,g,400.0,rôti de boeuf
141,15,gousse,1.0,ail
142,15,cl,12.0,eau
143,16,"g, gros",10.0,sel
144,16,g,330.0,farine de blé noir
145,16,cl,75.0,eau
146,16,,1.0,oeuf
147,17,"bonne, cuillère à soupe",1.0,moutarde
148,17,,4.0,andouillette
149,17,cl,20.0,crème
150,17,,1.0,échalote
151,18,"cuillère à soupe, gros",1.0,sel
152,18,branches,2.0,romarin
153,18,,1.0,gigot d'agneau
154,18,gousses,2.0,ail
155,18,,,graisse d'oie
156,18,,,ail
157,19,,,sel
158,19,,,poivre
159,19,pincée,1.0,muscade
160,19,g,100.0,gruyère râpé
161,19,tranches,4.0,jambon
162,19,g,50.0,beurre tendre
163,19,tranches,8.0,pain de mie
164,19,tranches,8.0,toastinette
165,19,cuillères à soupe,4.0,lait
166,20,,,persil
167,20,,,poivre
168,20,,,sel
169,20,cl,30.0,bouillon de boeuf
