id,recetteid,unit,quantite,ingredient,unit_en,quantite_en,ingredient_en
1,1,,,sel,,,salt
2,1,,,poivre,,,pepper
3,1,,4.0,clous de girofle,,4.0,cloves
4,1,,1.0,oignon,,1.0,onion
5,1,,2.0,poireaux,,2.0,leeks
6,1,,5.0,carottes,,5.0,carrots
7,1,kg,1.0,boeuf,kg,1.0,beef
8,1,,,os à moelle,,,marrow bones
9,1,branches,2.0,céleri,branches,2.0,celery
10,1,gousse,1,ail,pod,1,garlic
11,1,bouquet,1.0,garni,bunch,1.0,garni
12,2,,,poivre,,,pepper
13,2,,,sel,,,salt
14,2,g,100.0,beurre,g,100.0,butter
15,2,bouteille,1.0,vin rouge,bottle,1.0,red wine
16,2,,4.0,carottes,,4.0,carrots
17,2,,4.0,oignons,,4.0,onions
18,2,g,600.0,bourguignon,g,600.0,burgundy
19,2,bouquet,1.0,garni,bunch,1.0,garni
20,3,,,poivre,,,pepper
21,3,,,sel,,,salt
22,3,,,persil,,,parsley
23,3,cuillère à café,1.0,rase farine,teaspoon,1.0,level flour
24,3,g,30.0,beurre,g,30.0,butter
25,3,,4.0,lmoules,,4.0,mussels
26,3,,2.0,échalotes,,2.0,shallots
27,3,"cl, blanc",15.0,vin sec,"cl, white",15.0,dry wine
28,4,g,50.0,fromage râpé,g,50.0,grated cheese
29,4,,1.0,oignon,,1.0,onion
30,4,g,50.0,huile d'olive,g,50.0,olive oil
31,4,,,sel,,,salt
32,4,,,poivre,,,pepper
33,4,,2.0,courgettes,,2.0,zucchini
34,4,g,600.0,porc,g,600.0,pork
35,4,cl,20.0,coulis de tomate,cl,20.0,tomato coulis
36,5,,,beurre,,,butter
37,5,,,huile d'olive,,,olive oil
38,5,,,moutarde,,,mustard
39,5,cl,40.0,crème fraîche,cl,40.0,sour cream
40,5,bouillon,1.0,de légumes,broth,1.0,of vegetables
41,5,filet,1.0,mignon,net,1.0,cute
42,5,"cl, blanc",25.0,vin sec,"cl, white",25.0,dry wine
43,5,g,500.0,champignon,g,500.0,mushroom
44,6,g,125.0,beurre,g,125.0,butter
45,6,g,100.0,farine,g,100.0,flour
46,6,,,poivre,,,pepper
47,6,,,sel,,,salt
48,6,g,70.0,fromage râpé,g,70.0,grated cheese
49,6,pincées,3.0,muscade,pinched,3.0,nutmeg
50,6,,,thym,,,thyme
51,6,feuilles,2.0,de laurier,leaves,2.0,of laurel
52,6,cl,20.0,vin rouge,cl,20.0,red wine
53,6,g,800.0,purée de tomate,g,800.0,tomato puree
54,6,,1,carotte,,1,carrot
55,6,,3.0,oignons jaunes,,3.0,yellow onions
56,6,paquet,1,lasagnes,pack,1,lasagna
57,6,gousses,2,ail,pods,2,garlic
58,6,branche,1.0,céleri,branch,1.0,celery
59,6,g,600.0,boeuf haché,g,600.0,ground beef
60,6,cl,15.0,eau,cl,15.0,water
61,6,,,basilic,,,basil
62,6,g,125.0,Parmesan,g,125.0,Parmesan
63,6,,1.0,llait,,1.0,milk
64,7,,,sel,,,salt
65,7,,,poivre,,,pepper
66,7,,,huile d'olive,,,olive oil
67,7,,4.0,aubergines,,4.0,eggplants
68,7,,,herbes de Provence,,,herbs of Provence
69,8,g,400.0,pois chiches,g,400.0,chickpeas
70,8,,2.0,courgettes,,2.0,zucchini
71,8,,5.0,carottes,,5.0,carrots
72,8,,3.0,tomates,,3.0,tomatoes
73,8,,2.0,cubes de bouillon,,2.0,bouillon cubes
74,8,cuillère à café,1.0,harissa,teaspoon,1.0,harissa
75,8,,,huile d'olive,,,olive oil
76,8,,12.0,merguez,,12.0,merguez
77,8,,8.0,pilons de poulet,,8.0,chicken drumsticks
78,8,boîtes,2.0,concentré de tomates,boxes,2.0,tomato paste
79,8,cuillères à soupe,3,épices à couscous,tablespoons,3,couscous spices
80,8,,10.0,navets,,10.0,turnips
81,9,,1.0,oignon,,1.0,onion
82,9,g,250.0,lardons,g,250.0,bacon
83,9,,,poivre,,,pepper
84,9,pincée,1.0,sel,pinch,1.0,salt
85,9,cl,50.0,crème fraîche,cl,50.0,sour cream
86,9,g,500.0,pâtes,g,500.0,pasta
87,9,,3.0,jaunes d'oeuf,,3.0,egg yolks
88,10,,,poivre,,,pepper
89,10,poignée,1.0,petite sel,handle,1.0,small salt
90,10,feuille,,de laurier,leaf,,of laurel
91,10,poignée,1.0,tomates cerise,handle,1.0,cherry tomatoes
92,10,,2.0,oignons,,2.0,onions
93,10,,1.0,poulet,,1.0,chicken
94,10,gousses,3.0,ail,pods,3.0,garlic
95,10,cl,1.0,jus de citron,cl,1.0,lemon juice
96,10,bouillon,1.0,de volaille,broth,1.0,of poultry
97,11,cuillères à soupe,2.0,huile,tablespoons,2.0,oil
98,11,cuillères à soupe,2.0,vinaigre balsamique,tablespoons,2.0,balsamic vinegar
99,11,cuillères à soupe,2.0,miel,tablespoons,2.0,Honey
100,11,,,sel,,,salt
101,11,,,poivre,,,pepper
102,11,blancs,4.0,de poulet,whites,4.0,chicken
103,11,cuillères à soupe,2.0,jus de citron,tablespoons,2.0,lemon juice
104,11,cuillère,1.0,sauce soja,spoon,1.0,soy sauce
105,11,gousses,2.0,ail,pods,2.0,garlic
106,12,cuillère à soupe,1.0,huile d'olive,tablespoon,1.0,olive oil
107,12,,1.0,clou de girofle,,1.0,clove
108,12,feuilles,2.0,de laurier,leaves,2.0,of laurel
109,12,cuillère à café,1.0,thym,teaspoon,1.0,thyme
110,12,,1.0,oignon,,1.0,onion
111,12,,4.0,cuisses de poulet,,4.0,chicken thighs
112,12,cl,50.0,eau,cl,50.0,water
113,12,gousse,1.0,ail,pod,1.0,garlic
114,12,bouillon,1.0,de volaille,broth,1.0,of poultry
115,12,,3.0,genièvre,,3.0,juniper
116,13,,,huile d'olive,,,olive oil
117,13,,1.0,piment,,1.0,pepper
118,13,cuillère à café,1.0,curcuma,teaspoon,1.0,turmeric
119,13,,,sel,,,salt
120,13,,,poivre,,,pepper
121,13,,,thym,,,thyme
122,13,,4.0,oignons,,4.0,onions
123,13,,4.0,tomates,,4.0,tomatoes
124,13,,6.0,saucisses,,6.0,sausages
125,13,gousses,6.0,ail,pods,6.0,garlic
126,13,,,laurier,,,laurel
127,14,,,sel,,,salt
128,14,,,poivre,,,pepper
129,14,,,beurre,,,butter
130,14,,,persil,,,parsley
131,14,,,thym,,,thyme
132,14,,3.0,oignons,,3.0,onions
133,14,,4.0,tomates,,4.0,tomatoes
134,14,g,500.0,chair à saucisse,g,500.0,sausage meat
135,14,gousses,2.0,ail,pods,2.0,garlic
136,15,,1.0,thym,,1.0,thyme
137,15,,1.0,sel,,1.0,salt
138,15,,1.0,poivre,,1.0,pepper
139,15,cuillères à soupe,2.0,huile d'olive,tablespoons,2.0,olive oil
140,15,g,400.0,rôti de boeuf,g,400.0,roast beef
141,15,gousse,1.0,ail,pod,1.0,garlic
142,15,cl,12.0,eau,cl,12.0,water
143,16,"g, gros",10.0,sel,"g, big",10.0,salt
144,16,g,330.0,farine de blé noir,g,330.0,buckwheat flour
145,16,cl,75.0,eau,cl,75.0,water
146,16,,1.0,oeuf,,1.0,egg
147,17,"bonne, cuillère à soupe",1.0,moutarde,"good, tablespoon",1.0,mustard
148,17,,4.0,andouillette,,4.0,andouillette
149,17,cl,20.0,crème,cl,20.0,cream
150,17,,1.0,échalote,,1.0,shallot
151,18,"cuillère à soupe, gros",1.0,sel,"tablespoon, large",1.0,salt
152,18,branches,2.0,romarin,branches,2.0,rosemary
153,18,,1.0,gigot d'agneau,,1.0,leg of lamb
154,18,gousses,2.0,ail,pods,2.0,garlic
155,18,,,graisse d'oie,,,goose fat
156,18,,,ail,,,garlic
157,19,,,sel,,,salt
158,19,,,poivre,,,pepper
159,19,pincée,1.0,muscade,pinch,1.0,nutmeg
160,19,g,100.0,gruyère râpé,g,100.0,grated gruyere
161,19,tranches,4.0,jambon,slices,4.0,ham
162,19,g,50.0,beurre tendre,g,50.0,soft butter
163,19,tranches,8.0,pain de mie,slices,8.0,soft bread
164,19,tranches,8.0,toastinette,slices,8.0,toastinette
165,19,cuillères à soupe,4.0,lait,tablespoons,4.0,milk
166,20,,,persil,,,parsley
167,20,,,poivre,,,pepper
168,20,,,sel,,,salt
169,20,cl,30.0,bouillon de boeuf,cl,30.0,beef broth
170,20,"grosse, boîte",1.0,haricots rouges,"big, box",1.0,red beans
171,20,cuillères à café,2.0,cumin en poudre,teaspoons,2.0,cumin powder
172,20,cuillère à café,1.0,chili,teaspoon,1.0,Chile
173,20,,2.0,oignons,,2.0,onions
174,20,g,50.0,beurre,g,50.0,butter
175,20,gousses,2.0,ail,pods,2.0,garlic
176,20,g,500,boeuf haché,g,500,ground beef
177,20,g,65.0,concentré de tomates,g,65.0,tomato paste
178,2566,,,muscade,,,nutmeg
179,2566,,,poivre,,,pepper
180,2566,,,sel,,,salt
181,2566,g,50.0,beurre,g,50.0,butter
182,2566,g,50.0,farine,g,50.0,flour
183,2566,,60.0,cllait,,60.0,clait
184,21,,,sel,,,salt
185,21,,,poivre,,,pepper
186,21,,,huile d'olive,,,olive oil
187,21,,5.0,oignons,,5.0,onions
188,21,,2.0,pavés saumon,,2.0,salmon cobblestones
189,21,,1.0,citron,,1.0,lemon
190,21,"verre, blanc",1.0,vin,"glass, white",1.0,wine
191,21,,,câpres,,,capers
192,22,,,sel,,,salt
193,22,,,poivre,,,pepper
194,22,cuillères à soupe,5.0,huile d'olive,tablespoons,5.0,olive oil
195,22,doses,3.0,safran,doses,3.0,saffron
196,22,,2.0,oignons,,2.0,onions
197,22,kg,1.0,tomate,kg,1.0,tomato
198,22,,2.0,poivrons,,2.0,peppers
199,22,g,500.0,riz,g,500.0,rice
200,22,"kg, filet",1.0,de poulet,"kg, net",1.0,chicken
201,22,g,500.0,calamar,g,500.0,squid
202,22,,1,lmoules,,1,mussels
203,22,,15.0,crevettes,,15.0,shrimp
204,22,,1,chorizo,,1,chorizo
205,22,gousses,3,ail,pods,3,garlic
206,22,,1.0,lbouillon de volaille,,1.0,chicken broth
207,23,,,romarin,,,rosemary
208,23,,,thym,,,thyme
209,23,,,poivre,,,pepper
210,23,,,fleur de sel,,,flower of salt
211,23,cl,5.0,huile d'olive,cl,5.0,olive oil
212,23,,,harissa,,,harissa
213,23,kg,1.5,épaule d'agneau,kg,1.5,shoulder of lamb
214,23,,12.0,échalotes,,12.0,shallots
215,23,gousses,8.0,ail,pods,8.0,garlic
216,24,,,sel,,,salt
217,24,,,poivre,,,pepper
218,24,cuillères à soupe,4.0,miel,tablespoons,4.0,Honey
219,24,cuillères à soupe,10.0,huile d'olive,tablespoons,10.0,olive oil
220,24,branches,6.0,thym,branches,6.0,thyme
221,24,,4.0,souris d'agneau,,4.0,lamb mouse
222,24,,1.0,ail,,1.0,garlic
223,25,bol,0.5,vinaigre,bowl,0.5,vinegar
224,25,bols,2.0,sucre,bowls,2.0,sugar
225,25,bols,4.0,eau,bowls,4.0,water
226,25,bol,1.0,nuoc mam,bowl,1.0,fish sauce
227,25,sachet,1.0,vermicelles de riz,bag,1.0,rice vermicelli
228,25,,,sel,,,salt
229,25,,,poivre,,,pepper
